"분류","지점명","채수위치","조사일","수온(℃)","pH","DO(㎎/L)","투명도","탁도","Chl-a (㎎/㎥)","유해남조류 세포수 (cells/㎖)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","지오스민","2MIB","Microcystin-LR (μg/L)"
"하천","승촌보","광산","2020.01.06","7.5","7.5","13.5","","","69.7","0","0","0","0","0","19","10","0.0"
"하천","승촌보","광산","2020.01.13","7.0","7.3","11.0","","","16.9","0","0","0","0","0","13","12","0.0"
"하천","승촌보","광산","2020.01.20","6.8","7.2","10.3","","","20.9","0","0","0","0","0","14","6","0.0"
"하천","승촌보","광산","2020.01.28","9.2","7.2","9.8","","","21.4","0","0","0","0","0","13","11","0.0"
"하천","승촌보","광산","2020.02.03","8.6","7.2","12.9","","","28.3","0","0","0","0","0","16","9","0.0"
"하천","승촌보","광산","2020.02.10","6.9","7.3","12.1","","","24.0","0","0","0","0","0","13","3","0.0"
"하천","승촌보","광산","2020.02.18","7.7","7.4","10.2","","","45.3","0","0","0","0","0","13","32","0.0"
"하천","승촌보","광산","2020.02.24","10.2","7.5","9.2","","","57.4","0","0","0","0","0","12","14","0.0"
"하천","승촌보","광산","2020.03.02","10.2","7.6","11.2","","","27.9","0","0","0","0","0","11","7","0.0"
"하천","승촌보","광산","2020.03.09","11.3","7.1","10.5","","","31.5","0","0","0","0","0","14","11","0.0"
"하천","승촌보","광산","2020.03.16","11.1","7.6","13.6","","","88.4","0","0","0","0","0","10","5","0.0"
"하천","승촌보","광산","2020.03.23","14.7","8.2","14.6","","","107.3","0","0","0","0","0","7","4","정량한계미만"
"하천","승촌보","광산","2020.03.30","13.2","7.3","10.1","","","121.6","0","0","0","0","0","9","16","정량한계미만"
"하천","승촌보","광산","2020.04.06","14.4","8.8","16.3","","","120.9","0","0","0","0","0","12","14","정량한계미만"
"하천","승촌보","광산","2020.04.13","14.6","7.3","10.7","","","61.4","0","0","0","0","0","16","24","정량한계미만"
"하천","승촌보","광산","2020.04.20","15.0","6.8","3.4","","","19.6","0","0","0","0","0","16","32","정량한계미만"
"하천","승촌보","광산","2020.04.27","16.5","7.9","13.7","","","60.9","0","0","0","0","0","17","18","정량한계미만"
"하천","승촌보","광산","2020.05.04","19.9","6.8","1.7","0.5","12.6","15.3","0","0","0","0","0","28","29","정량한계미만"
"하천","승촌보","광산","2020.05.11","19.7","7.2","5.4","0.7","7.2","37.2","0","0","0","0","0","25","28","정량한계미만"
