"ºÐ·ù","ÁöÁ¡¸í","Ã¤¼öÀ§Ä¡","Á¶»çÀÏ","¼ö¿Â(¡É)","pH","DO(§·/L)","Åõ¸íµµ","Å¹µµ","Chl-a (§·/§©)","À¯ÇØ³²Á¶·ù ¼¼Æ÷¼ö (cells/§¢)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","Áö¿À½º¹Î","2MIB","Microcystin-LR (¥ìg/L)"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2015.01.05","5.3","7.0","12.8","","","3.3","0","0","0","0","0","7","4",""
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2015.01.13","4.8","7.0","11.5","","","5.5","0","0","0","0","0","6","0",""
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2015.01.20","5.3","7.0","12.9","","","7.7","0","0","0","0","0","9","7",""
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2015.01.26","7.1","6.4","10.3","","","12.0","0","0","0","0","0","11","10",""
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2015.02.02","5.5","7.1","12.0","","","15.3","0","0","0","0","0","6","2",""
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2015.02.10","5.3","7.3","15.3","","","21.6","0","0","0","0","0","11","3",""
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2015.02.16","7.1","6.9","11.7","","","28.8","0","0","0","0","0","9","4",""
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2015.02.23","8.2","7.2","11.3","","","45.9","0","0","0","0","0","7","0",""
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2015.03.02","8.0","6.8","12.7","","","55.4","0","0","0","0","0","14","11",""
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2015.03.10","8.3","7.3","13.8","","","91.5","0","0","0","0","0","13","2","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2015.03.12","8.2","7.8","13.6","","","121.6","0","0","0","0","0","13","3",""
