"분류","지점명","채수위치","조사일","수온(℃)","pH","DO(㎎/L)","투명도","탁도","Chl-a (㎎/㎥)","유해남조류 세포수 (cells/㎖)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","지오스민","2MIB","Microcystin-LR (μg/L)"
"하천","승촌보","광산","2021.01.04","5.9","7.0","13.0","0.8","6.1","66.8","0","0","0","0","0","6","7","정량한계미만"
"하천","승촌보","광산","2021.01.14","5.5","7.4","13.9","1.0","6.2","58.3","0","0","0","0","0","","",""
"하천","승촌보","광산","2021.01.19","5.3","7.2","12.4","1.0","4.7","44.2","0","0","0","0","0","10","6","정량한계미만"
"하천","승촌보","광산","2021.01.25","8.9","7.2","9.7","0.7","6.6","44.3","0","0","0","0","0","11","5","정량한계미만"
"하천","승촌보","광산","2021.02.01","7.7","7.3","12.2","0.7","4.3","62.6","0","0","0","0","0","","","정량한계미만"
"하천","승촌보","광산","2021.02.08","7.4","7.4","11.8","0.9","4.8","68.6","0","0","0","0","0","19","6","정량한계미만"
"하천","승촌보","광산","2021.02.15","10.5","7.6","14.3","0.9","5.5","69.2","0","0","0","0","0","19","정량한계미만","정량한계미만"
"하천","승촌보","광산","2021.02.22","9.9","7.3","12.8","0.6","5.6","55.6","0","0","0","0","0","21","3","정량한계미만"
"하천","승촌보","광산","2021.03.02","10.7","7.1","8.6","0.3","45.1","27.3","0","0","0","0","0","13","정량한계미만","정량한계미만"
"하천","승촌보","광산","2021.03.08","11.8","7.1","10.9","0.6","11.4","77.3","0","0","0","0","0","26","4","정량한계미만"
"하천","승촌보","광산","2021.03.15","12.8","7.8","12.1","0.8","9.2","93.3","0","0","0","0","0","29","4","정량한계미만"
"하천","승촌보","광산","2021.03.22","12.8","6.8","10.0","0.6","8.7","106.4","0","0","0","0","0","23","4","정량한계미만"
"하천","승촌보","광산","2021.03.29","14.9","7.8","9.3","0.6","14.9","102.3","0","0","0","0","0","15","3","정량한계미만"
"하천","승촌보","광산","2021.04.05","15.3","7.6","8.1","0.5","11.2","142.4","0","0","0","0","0","15","8","정량한계미만"
"하천","승촌보","광산","2021.04.12","17.5","8.5","13.3","0.4","6.6","224.4","0","0","0","0","0","11","8","정량한계미만"
"하천","승촌보","광산","2021.04.19","15.4","8.8","16.4","0.6","5.1","234.1","0","0","0","0","0","13","10","정량한계미만"
"하천","승촌보","광산","2021.04.26","19.8","7.4","10.2","0.7","4.1","53.5","0","0","0","0","0","11","9","정량한계미만"
"하천","승촌보","광산","2021.05.03","17.1","7.1","7.3","0.7","1.6","80.7","0","0","0","0","0","12","6","정량한계미만"
"하천","승촌보","광산","2021.05.10","19.7","7.3","12.7","0.5","11.7","108.7","0","0","0","0","0","13","9","정량한계미만"
"하천","승촌보","광산","2021.05.17","20.8","6.6","4.4","0.4","14.6","16.6","0","0","0","0","0","10","4","정량한계미만"
"하천","승촌보","광산","2021.05.24","23.5","8.1","14.4","0.5","5.1","186.5","0","0","0","0","0","6","3","정량한계미만"
"하천","승촌보","광산","2021.06.01","25.0","8.6","17.0","0.5","5.7","136.3","0","0","0","0","0","7","5","정량한계미만"
"하천","승촌보","광산","2021.06.07","24.0","7.1","9.9","0.6","5.0","126.7","0","0","0","0","0","7","7","정량한계미만"
"하천","승촌보","광산","2021.06.14","26.4","6.6","7.6","0.5","5.9","81.7","0","0","0","0","0","5","9","정량한계미만"
"하천","승촌보","광산","2021.06.21","26.6","7.2","10.9","0.5","2.2","95.0","157","123","34","0","0","4","5","정량한계미만"
"하천","승촌보","광산","2021.06.28","27.1","6.6","6.0","0.6","2.8","66.7","0","0","0","0","0","5","5","정량한계미만"
"하천","승촌보","광산","2021.07.05","24.8","6.8","4.7","0.5","6.5","25.4","0","0","0","0","0","5","4","0.0"
"하천","승촌보","광산","2021.07.12","27.8","6.6","8.0","0.5","2.7","53.2","66","66","0","0","0","4","2","정량한계미만"
"하천","승촌보","광산","2021.07.19","29.2","7.2","8.2","0.5","4.4","72.2","63","51","12","0","0","14","6","정량한계미만"
"하천","승촌보","광산","2021.07.26","29.3","7.8","9.8","0.6","5.2","136.4","98","98","0","0","0","11","12","정량한계미만"
"하천","승촌보","광산","2021.08.02","29.1","6.7","4.2","0.6","5.1","129.9","822","688","47","54","33","13","3","정량한계미만"
"하천","승촌보","광산","2021.08.09","28.3","6.7","6.3","0.4","10.2","58.3","491","471","14","6","0","6","14","정량한계미만"
"하천","승촌보","광산","2021.08.17","28.3","7.0","8.6","6.0","3.7","86.0","661","578","83","0","0","8","9","정량한계미만"
"하천","승촌보","광산","2021.08.23","","","","","","","","","","","","","",""
"하천","승촌보","광산","2021.09.01","","","","","","","","","","","","","",""
"하천","승촌보","광산","2021.09.06","24.2","6.7","6.9","0.7","2.8","18.5","510","419","23","0","68","8","4","정량한계미만"
"하천","승촌보","광산","2021.09.13","26.1","7.2","9.7","0.7","3.1","57.1","89","89","0","0","0","9","9","정량한계미만"
"하천","승촌보","광산","2021.09.23","25.1","7.0","8.4","0.7","3.7","25.2","2018","1852","53","0","113","35","5","0.2"
"하천","승촌보","광산","2021.09.27","24.7","7.0","9.5","0.7","3.9","44.3","1206","1149","43","0","14","13","8","정량한계미만"
"하천","승촌보","광산","2021.10.05","25.4","7.8","11.9","0.6","5.2","94.5","1003","1003","0","0","0","6","6","정량한계미만"
"하천","승촌보","광산","2021.10.12","22.9","6.9","4.8","0.8","4.2","47.0","617","617","0","0","0","11","10","정량한계미만"
"하천","승촌보","광산","2021.10.18","16.3","7.2","9.9","0.7","6.9","34.3","0","0","0","0","0","7","5","정량한계미만"
"하천","승촌보","광산","2021.10.25","17.3","8.3","17.2","0.7","4.4","112.9","0","0","0","0","0","7","6","정량한계미만"
"하천","승촌보","광산","2021.11.01","17.0","7.1","10.5","0.8","3.0","52.2","0","0","0","0","0","5","4","정량한계미만"
"하천","승촌보","광산","2021.11.08","17.0","7.2","11.2","0.6","5.5","75.2","0","0","0","0","0","10","8","정량한계미만"
"하천","승촌보","광산","2021.11.15","12.6","6.9","8.5","0.9","1.8","33.3","0","0","0","0","0","9","6","정량한계미만"
"하천","승촌보","광산","2021.11.22","13.3","6.9","9.7","0.9","3.5","54.1","0","0","0","0","0","10","7","정량한계미만"
"하천","승촌보","광산","2021.11.29","12.2","7.0","9.3","1.0","2.9","38.4","0","0","0","0","0","11","6","정량한계미만"
"하천","승촌보","광산","2021.12.06","9.3","7.0","10.6","0.8","5.1","28.2","0","0","0","0","0","7","4","정량한계미만"
"하천","승촌보","광산","2021.12.13","10.4","7.1","10.6","0.8","5.5","38.2","0","0","0","0","0","5","4","정량한계미만"
"하천","승촌보","광산","2021.12.20","7.4","7.2","12.1","1.0","3.6","41.1","0","0","0","0","0","8","5","정량한계미만"
"하천","승촌보","광산","2021.12.27","5.4","7.4","13.0","0.8","2.7","19.4","0","0","0","0","0","4","3","정량한계미만"
"하천","죽산보","죽산","2021.01.04","4.4","8.8","18.2","0.5","10.4","168.2","0","0","0","0","0","4","5","정량한계미만"
"하천","죽산보","죽산","2021.01.14","","","","","","","","","","","","","",""
"하천","죽산보","죽산","2021.01.19","3.6","8.8","18.0","0.4","8.2","133.4","0","0","0","0","0","9","4","정량한계미만"
"하천","죽산보","죽산","2021.01.25","6.1","8.8","18.0","0.6","4.8","129.1","0","0","0","0","0","9","4","정량한계미만"
"하천","죽산보","죽산","2021.02.01","7.0","8.7","17.1","0.5","8.6","161.0","0","0","0","0","0","","","정량한계미만"
"하천","죽산보","죽산","2021.02.08","6.4","8.9","16.5","0.6","11.6","174.3","0","0","0","0","0","13","6","정량한계미만"
"하천","죽산보","죽산","2021.02.15","8.0","9.0","17.3","0.6","7.4","98.6","0","0","0","0","0","13","정량한계미만","정량한계미만"
"하천","죽산보","죽산","2021.02.22","8.8","8.5","14.3","0.7","8.6","73.3","0","0","0","0","0","16","3","정량한계미만"
"하천","죽산보","죽산","2021.03.02","9.3","7.7","11.6","0.6","12.5","99.0","0","0","0","0","0","17","정량한계미만","정량한계미만"
"하천","죽산보","죽산","2021.03.08","11.1","7.6","11.8","0.7","7.3","78.3","0","0","0","0","0","29","4","정량한계미만"
"하천","죽산보","죽산","2021.03.15","13.0","8.2","12.1","0.8","7.2","62.7","0","0","0","0","0","27","3","정량한계미만"
"하천","죽산보","죽산","2021.03.22","13.0","7.1","8.4","0.6","12.2","33.2","0","0","0","0","0","28","3","정량한계미만"
"하천","죽산보","죽산","2021.03.29","14.9","7.5","7.6","0.5","16.2","52.5","0","0","0","0","0","16","2","정량한계미만"
"하천","죽산보","죽산","2021.04.05","15.6","7.6","8.1","0.6","7.7","47.0","0","0","0","0","0","16","5","정량한계미만"
"하천","죽산보","죽산","2021.04.12","16.8","8.2","10.7","0.5","5.9","54.8","0","0","0","0","0","10","13","정량한계미만"
"하천","죽산보","죽산","2021.04.19","16.4","7.9","9.1","0.6","4.4","43.2","0","0","0","0","0","12","21","정량한계미만"
"하천","죽산보","죽산","2021.04.26","19.2","8.9","11.2","0.7","2.9","63.4","149","0","0","0","149","10","26","정량한계미만"
"하천","죽산보","죽산","2021.05.03","19.4","8.0","8.7","0.5","4.1","48.0","0","0","0","0","0","11","37","정량한계미만"
"하천","죽산보","죽산","2021.05.10","19.9","8.1","10.9","0.5","5.4","65.9","1019","0","570","0","449","9","18","정량한계미만"
"하천","죽산보","죽산","2021.05.17","21.3","6.9","4.5","0.4","12.3","21.3","0","0","0","0","0","11","3","정량한계미만"
"하천","죽산보","죽산","2021.05.24","23.6","8.3","13.4","0.6","3.3","83.4","31","0","31","0","0","5","4","정량한계미만"
"하천","죽산보","죽산","2021.06.01","23.5","8.3","11.8","0.6","4.1","61.9","338","0","0","0","338","5","5","정량한계미만"
"하천","죽산보","죽산","2021.06.07","24.5","7.8","11.1","0.5","4.8","118.0","0","0","0","0","0","4","6","정량한계미만"
"하천","죽산보","죽산","2021.06.14","25.8","7.6","11.0","0.6","4.8","96.6","0","0","0","0","0","3","5","정량한계미만"
"하천","죽산보","죽산","2021.06.21","26.4","8.5","14.1","0.6","1.5","68.6","410","404","6","0","0","3","4","정량한계미만"
"하천","죽산보","죽산","2021.06.28","28.9","8.5","11.9","0.4","9.9","65.5","33791","33750","0","0","41","5","11","정량한계미만"
"하천","죽산보","죽산","2021.07.05","25.8","6.8","4.7","0.5","7.6","37.6","703","703","0","0","0","7","6","0.0"
"하천","죽산보","죽산","2021.07.12","27.4","7.3","10.1","0.6","5.4","53.8","211","211","0","0","0","4","정량한계미만","정량한계미만"
"하천","죽산보","죽산","2021.07.19","29.4","7.7","8.2","0.7","2.4","57.6","733","706","27","0","0","20","6","정량한계미만"
"하천","죽산보","죽산","2021.07.26","30.1","8.4","10.4","0.5","9.4","68.2","15725","14400","1000","0","325","130","10","0.1"
"하천","죽산보","죽산","2021.08.02","30.9","8.3","9.5","0.5","13.1","101.2","19809","19125","201","0","483","22","5","0.2"
"하천","죽산보","죽산","2021.08.09","30.2","7.3","7.9","0.5","6.9","43.1","1056","743","0","63","250","5","19","정량한계미만"
"하천","죽산보","죽산","2021.08.17","29.3","8.5","13.2","0.6","4.8","79.4","2659","1677","128","108","746","12","164","정량한계미만"
"하천","죽산보","죽산","2021.08.23","","","","","","","","","","","","","",""
"하천","죽산보","죽산","2021.09.01","","","","","","","","","","","","","",""
"하천","죽산보","죽산","2021.09.06","24.5","6.8","7.5","0.6","6.0","23.8","234","138","58","0","38","6","4","정량한계미만"
"하천","죽산보","죽산","2021.09.13","25.4","8.5","14.4","0.6","4.2","68.2","277","160","117","0","0","8","9","정량한계미만"
"하천","죽산보","죽산","2021.09.23","25.8","7.6","10.1","0.6","7.1","25.5","1705","1463","242","0","0","11","6","0.2"
"하천","죽산보","죽산","2021.09.27","24.9","8.1","11.9","0.6","5.9","70.5","1955","1687","205","0","63","18","6","0.1"
"하천","죽산보","죽산","2021.10.05","27.1","8.8","15.2","0.6","7.2","95.9","747","698","49","0","0","4","4","정량한계미만"
"하천","죽산보","죽산","2021.10.12","23.9","7.2","7.9","0.6","9.9","56.3","915","802","0","0","113","6","12","정량한계미만"
"하천","죽산보","죽산","2021.10.18","19.5","8.5","13.6","0.6","9.8","83.8","152","152","0","0","0","4","5","정량한계미만"
"하천","죽산보","죽산","2021.10.25","16.2","8.7","14.7","0.6","7.5","102.5","576","383","34","159","0","4","5","정량한계미만"
