"ºÐ·ù","ÁöÁ¡¸í","Ã¤¼öÀ§Ä¡","Á¶»çÀÏ","¼ö¿Â(¡É)","pH","DO(§·/L)","Åõ¸íµµ","Å¹µµ","Chl-a (§·/§©)","À¯ÇØ³²Á¶·ù ¼¼Æ÷¼ö (cells/§¢)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","Áö¿À½º¹Î","2MIB","Microcystin-LR (¥ìg/L)"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2016.01.04","7.7","6.8","11.8","","","16.9","0","0","0","0","0","0","0","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2016.01.11","7.5","7.5","12.7","","","36.9","0","0","0","0","0","6","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2016.01.18","7.0","7.4","13.6","","","38.9","0","0","0","0","0","7","3","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2016.01.28","4.2","7.0","13.1","","","21.2","0","0","0","0","0","6","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2016.02.02","4.2","6.7","11.3","","","13.3","0","0","0","0","0","7","0","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2016.02.11","6.3","7.1","13.2","","","14.7","0","0","0","0","0","6","8","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2016.02.15","8.8","7.2","10.2","","","16.0","0","0","0","0","0","8","0","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2016.02.22","7.8","6.8","11.5","","","13.1","0","0","0","0","0","8","3","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2016.02.29","7.3","7.5","13.9","","","44.5","0","0","0","0","0","10","0","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2016.03.07","12.1","7.0","8.3","","","5.7","0","0","0","0","0","12","0","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2016.03.14","8.3","6.7","12.6","","","15.6","0","0","0","0","0","9","0","0.0"
