"ºÐ·ù","ÁöÁ¡¸í","Ã¤¼öÀ§Ä¡","Á¶»çÀÏ","¼ö¿Â(¡É)","pH","DO(§·/L)","Åõ¸íµµ","Å¹µµ","Chl-a (§·/§©)","À¯ÇØ³²Á¶·ù ¼¼Æ÷¼ö (cells/§¢)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","Áö¿À½º¹Î","2MIB","Microcystin-LR (¥ìg/L)"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.01.02","6.2","7.4","11.1","","","26.4","0","0","0","0","0","5","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.01.09","8.3","6.6","12.7","","","43.8","0","0","0","0","0","10","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.01.16","5.3","6.8","14.6","","","45.9","0","0","0","0","0","8","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.01.24","5.1","7.7","14.7","","","56.5","0","0","0","0","0","9","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.01.31","5.7","6.5","12.4","","","41.8","0","0","0","0","0","12","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.02.06","6.3","7.7","11.5","","","31.4","0","0","0","0","0","8","8","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.02.13","6.1","7.6","14.6","","","99.0","0","0","0","0","0","9","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.02.15","6.5","7.8","15.6","","","57.9","0","0","0","0","0","12","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.02.20","8.3","6.3","15.3","","","73.1","0","0","0","0","0","8","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.02.27","7.4","7.1","13.7","","","73.7","0","0","0","0","0","8","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.03.06","9.9","7.7","13.6","","","77.6","0","0","0","0","0","8","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.03.09","9.1","8.1","15.3","","","88.5","0","0","0","0","0","10","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.03.13","10.2","7.8","16.0","","","53.1","0","0","0","0","0","11","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.03.20","11.9","6.8","14.0","","","96.8","0","0","0","0","0","13","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.03.27","12.4","7.7","15.6","","","177.9","0","0","0","0","0","14","7","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.04.03","13.5","7.5","15.4","","","60.3","0","0","0","0","0","10","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.04.10","17.0","6.5","9.1","","","29.0","0","0","0","0","0","9","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.04.17","18.0","6.4","9.9","","","27.3","0","0","0","0","0","8","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.04.24","17.7","6.8","7.5","","","20.3","0","0","0","0","0","8","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.05.02","19.5","7.6","9.2","","","84.4","550","0","550","0","0","6","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.05.08","20.7","7.1","7.3","","","35.1","775","0","775","0","0","9","8","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.05.15","20.5","7.1","7.2","","","27.6","0","0","0","0","0","7","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.05.22","22.1","7.5","9.0","","","38.4","0","0","0","0","0","6","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.05.29","22.9","7.1","10.8","","","39.5","0","0","0","0","0","4","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.06.05","23.4","7.1","9.1","","","44.3","525","0","0","0","525","15","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.06.12","23.3","6.9","7.9","","","94.6","375","0","0","0","375","4","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.06.19","24.4","7.5","10.6","","","38.4","4140","1860","1200","0","1080","8","3","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.06.26","25.4","6.7","4.4","","","43.9","12080","10120","1100","0","860","11","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.06.29","24.6","6.4","2.8","","","2.0","13840","12260","440","1140","0","7","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.07.03","26.2","6.7","3.2","","","27.0","160","160","0","0","0","7","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.07.06","27.6","7.2","3.4","","","18.2","6780","6780","0","0","0","6","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.07.10","27.2","6.7","4.0","","","31.4","0","0","0","0","0","8","8","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.07.17","26.0","5.7","6.0","","","2.4","0","0","0","0","0","5","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.07.24","29.2","6.4","5.3","","","21.1","600","600","0","0","0","24","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.08.01","27.0","7.3","2.7","","","14.2","5360","5360","0","0","0","2","2","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.08.07","29.9","7.1","2.2","","","22.4","7060","7060","0","0","0","8","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.08.14","27.9","6.5","2.5","","","11.2","3720","3080","0","640","0","8","10","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.08.21","26.5","6.4","2.2","","","9.6","0","0","0","0","0","7","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.08.28","25.7","6.4","6.1","","","12.3","0","0","0","0","0","6","10","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.09.04","25.0","6.8","9.6","","","49.4","0","0","0","0","0","4","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.09.12","22.2","6.7","6.1","","","5.0","0","0","0","0","0","5","12","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.09.18","23.4","7.0","8.4","","","70.0","8120","5540","780","0","1800","6","20","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.09.20","23.8","7.2","9.5","","","58.4","7740","5220","1400","0","1120","6","28","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.09.25","24.0","7.5","9.5","","","31.0","4060","3760","0","0","300","5","14","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.10.10","21.4","6.8","5.4","","","61.9","0","0","0","0","0","5","8","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.10.16","19.1","6.9","7.7","","","37.5","4300","4300","0","0","0","5","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2017.10.23","18.3","7.5","8.8","","","52.5","0","0","0","0","0","6","7","0.0"
