"ºÐ·ù","ÁöÁ¡¸í","Ã¤¼öÀ§Ä¡","Á¶»çÀÏ","¼ö¿Â(¡É)","pH","DO(§·/L)","Åõ¸íµµ","Å¹µµ","Chl-a (§·/§©)","À¯ÇØ³²Á¶·ù ¼¼Æ÷¼ö (cells/§¢)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","Áö¿À½º¹Î","2MIB","Microcystin-LR (¥ìg/L)"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.01.03","","","","","","","","","","","","","",""
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.01.07","6.0","8.2","12.5","","","31.4","0","0","0","0","0","6","3","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.01.14","7.6","7.5","12.1","","","44.7","0","0","0","0","0","8","3","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.01.21","6.8","7.6","12.1","","","32.4","0","0","0","0","0","6","2","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.01.28","6.5","7.8","13.3","","","59.6","0","0","0","0","0","9","2","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.02.07","8.1","7.4","8.9","","","99.0","0","0","0","0","0","10","7","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.02.11","5.9","8.1","13.5","","","121.4","34","0","0","34","0","15","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.02.14","6.5","8.3","14.3","","","126.1","0","0","0","0","0","16","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.02.18","7.0","7.7","15.6","","","92.2","0","0","0","0","0","12","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.02.21","7.4","7.4","7.5","","","54.7","0","0","0","0","0","13","7","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.02.25","9.0","8.0","11.6","","","148.2","0","0","0","0","0","17","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.02.27","10.1","7.9","13.4","","","71.7","0","0","0","0","0","21","9","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.03.04","12.0","7.6","12.8","","","68.1","0","0","0","0","0","20","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.03.07","12.3","7.8","12.6","","","79.6","0","0","0","0","0","24","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.03.11","12.1","7.5","8.7","","","76.8","0","0","0","0","0","31","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.03.18","12.1","7.8","12.1","","","80.5","0","0","0","0","0","22","8","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.03.25","11.8","8.1","8.0","","","41.4","0","0","0","0","0","16","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.04.01","12.2","8.1","8.6","","","24.1","0","0","0","0","0","16","8","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.04.08","14.8","8.2","7.9","","","26.0","0","0","0","0","0","14","13","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.04.15","13.7","9.0","11.8","","","84.0","0","0","0","0","0","8","7","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.04.22","20.2","8.4","10.1","","","70.5","0","0","0","0","0","10","13","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.04.30","15.6","7.8","6.8","","","16.2","0","0","0","0","0","7","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.05.07","19.4","8.6","10.1","","","41.1","0","0","0","0","0","9","13","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.05.13","21.6","7.5","12.4","","","79.0","0","0","0","0","0","12","9","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.05.20","20.9","7.3","5.6","","","42.5","0","0","0","0","0","8","11","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.05.28","20.4","7.0","4.3","","","35.9","0","0","0","0","0","6","10","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.06.03","22.9","7.6","8.4","","","68.7","0","0","0","0","0","5","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.06.10","24.1","7.7","4.7","","","34.6","0","0","0","0","0","5","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.06.17","24.4","8.2","8.2","","","77.6","0","0","0","0","0","4","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.06.24","26.0","7.9","4.8","","","74.7","48","48","0","0","0","6","7","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.07.02","24.3","7.2","3.8","","","8.3","0","0","0","0","0","8","9","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.07.08","27.1","7.3","6.7","","","67.1","164","164","0","0","0","6","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.07.15","26.4","8.7","7.4","","","63.7","46","46","0","0","0","4","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.07.23","26.6","8.1","4.7","","","5.9","0","0","0","0","0","7","8","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.07.29","26.1","7.4","5.7","","","4.3","24","0","0","0","24","5","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.08.05","30.2","7.7","8.6","","","65.4","0","0","0","0","0","6","9","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.08.12","27.3","7.2","4.6","","","22.1","0","0","0","0","0","7","10","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.08.19","28.7","8.1","10.5","","","106.9","0","0","0","0","0","10","9","ºÐ¼®Áß"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.08.26","26.0","7.3","6.8","","","15.3","1994","1994","0","0","0","4","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.09.03","24.3","7.3","7.7","","","40.7","34","34","0","0","0","10","8","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.09.10","25.8","7.2","5.4","","","5.4","54","54","0","0","0","9","8","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.09.16","27.3","8.0","10.1","","","43.8","761","733","28","0","0","7","7","0.3"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.09.24","20.0","7.3","7.0","","","4.2","74","74","0","0","0","7","7","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.09.30","25.0","7.4","8.7","","","47.8","4025","3814","211","0","0","6","35","0.3"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.10.07","21.3","7.5","7.3","","","3.2","147","147","0","0","0","10","7","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.10.14","20.3","7.6","8.8","","","29.4","2603","2603","0","0","0","7","6","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.10.21","19.7","7.9","12.1","","","65.9","28","28","0","0","0","11","10","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.10.28","17.1","8.2","12.7","","","88.7","0","0","0","0","0","15","10","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.11.04","17.5","7.9","11.9","","","86.0","0","0","0","0","0","13","8","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.11.11","14.8","7.6","9.6","","","26.9","0","0","0","0","0","11","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.11.18","14.1","7.5","8.0","","","32.8","0","0","0","0","0","14","7","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.11.25","13.2","7.7","11.5","","","62.2","0","0","0","0","0","13","7","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.12.09","8.0","7.7","15.5","","","99.5","0","0","0","0","0","18","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.12.11","9.1","7.7","14.8","","","101.7","0","0","0","0","0","11","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.12.16","9.1","7.7","14.6","","","74.6","0","0","0","0","0","11","5","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.12.19","9.7","7.6","12.0","","","68.8","0","0","0","0","0","12","4","0.0"
"ÇÏÃµ","½ÂÃÌº¸","±¤»ê","2019.12.23","7.4","7.7","12.9","","","58.8","0","0","0","0","0","11","2","0.0"
"ÇÏÃµ","Á×»êº¸","Á×»ê","2019.01.03","","","","","","","","","","","","","",""
