측정소명,년/월/일,회차,수심(m),수온(℃),DO(㎎/L),BOD(㎎/L),COD(㎎/L),클로로필 a(㎎/㎥),TN(㎎/L),TP(㎎/L),TOC(㎎/L),수소이온농도,페놀류(㎎/L),전기전도도(μS/㎝),총대장균군수(총대장균군수/100ml),카드뮴(㎎/L),시안(㎎/L),납(㎎/L),6가크롬(㎎/L),비소(㎎/L),수은(㎎/L),구리(㎎/L),아연(㎎/L),크롬(㎎/L),니켈(㎎/L),바륨(㎎/L),셀레늄(㎎/L),용존총질소(㎎/L),암모니아성 질소(㎎/L),질산성 질소(㎎/L),용존총인(㎎/L),인산염인(㎎/L),SS(㎎/L),헥사클로로벤젠 (㎍/L),분원성대장균군수,불소(㎎/L),색도(㎎/L),노말헥산추출물질(㎎/L),용해성망간(㎎/L),용해성철(㎎/L),음이온계면활성제(㎎/L),테트라클로로에틸렌(㎎/L),테트라클로로에틸렌(㎎/L).1,사염화탄소,1.2-디클로로에탄(㎎/L),디클로로메탄(㎎/L),벤젠(㎎/L),폴리크로리네이티트비페닐(㎎/L),유기인(㎎/L),안티몬 (㎎/L),클로로포름 (㎎/L),디에틸헥실프탈레이트 (㎎/L),1.4-다이옥세인 (㎎/L),투명도(m),유량(㎥/s),포름알데히드(㎎/L)
죽산보,2012-04-09,1회차,,14.2,16.3,4.7,9.3,129.8,4.4719999999999995,0.10800000000000001,4.5,8.7,0.0,298,700,,,,,,,,,,,,,4.419,1.248,3.089,0.043,0.037000000000000005,22.4,,20,,,,,,,,,,,,,,,,,,,,,
승촌보,2012-04-10,2회차,,15.1,13.4,6.2,11.8,151.1,6.007000000000001,0.314,7.0,7.8,0.0,344,12000,,,,,,,,,,,,,5.99,2.033,2.449,0.24600000000000002,0.16,13.8,,250,,,,,,,,,,,,,,,,,,,,18.901,
승촌보,2012-04-18,3회차,,19.2,10.9,6.6,11.5,74.1,7.079,0.48100000000000004,8.4,8.7,0.0,393,950,,,,,,,,,,,,,7.042000000000001,3.855,1.902,0.401,0.396,8.1,,40,,,,,,,,,,,,,,,,,,,,12.567,
승촌보,2012-04-26,4회차,,17.2,8.1,6.0,10.4,61.3,4.901,0.4,7.5,7.2,0.0,307,13955,,,,,,,,,,,,,4.878,2.3569999999999998,1.493,0.28800000000000003,0.26899999999999996,13.8,,2400,,,,,,,,,,,,,,,,,,,,20.278,
승촌보,2012-05-03,1회차,,21.1,11.3,6.4,11.0,70.9,5.44,0.465,7.2,7.3,0.0,310,4850,,,,,,,,,,,,,4.998,3.0380000000000003,1.2670000000000001,0.307,0.29100000000000004,16.2,,1050,,,,,,,,,,,,,,,,,,,,24.241,
승촌보,2012-05-11,2회차,,23.3,12.6,8.8,13.4,76.2,5.398,0.41700000000000004,8.2,8.1,0.0,351,3700,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.17,3.1839999999999997,1.192,0.337,0.32799999999999996,13.2,,210,,,,,,0.0,,,,,,,,,,,,,,13.960999999999999,
승촌보,2012-05-15,3회차,,20.8,5.0,5.3,8.6,64.3,6.5729999999999995,0.436,7.0,6.5,0.0,393,180,,,,,,,,,,,,,6.409,4.771,0.978,0.402,0.386,7.4,,23,,,,,,,,,,,,,,,,,,,,19.904,
죽산보,2012-05-17,1회차,,22.0,6.2,3.6,7.0,16.0,4.503,0.252,4.4,7.1,0.0,308,1500,,,,,,,,,,,,,4.288,1.824,1.6019999999999999,0.228,0.22699999999999998,7.2,,80,,,,,,,,,,,,,,,,,,,,,
승촌보,2012-05-23,4회차,,22.7,10.4,5.7,11.6,82.8,3.708,0.16699999999999998,8.2,7.7,0.0,398,20,,,,,,,,,,,,,3.17,1.171,1.327,0.087,0.065,11.7,,5,,,,,,,,,,,,,,,,,,,,16.984,
승촌보,2012-05-29,5회차,,28.1,14.1,7.9,14.4,83.3,5.044,0.175,8.7,8.7,0.0,354,80,,,,,,,,,,,,,4.728,2.366,1.246,0.13,0.068,15.7,,23,,,,,,,,,,,,,,,,,,,,16.924,
승촌보,2012-06-05,1회차,,25.9,12.0,6.0,12.3,89.8,5.242999999999999,0.285,8.4,8.9,0.0,337,230,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.162000000000001,2.503,1.314,0.231,0.19699999999999998,10.6,,62,,,,,,0.0,,,,,,,,,,,,,,21.465999999999998,
죽산보,2012-06-11,2회차,,25.8,11.7,8.4,13.4,119.0,6.115,0.22399999999999998,7.3,8.8,0.0,163,1300,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,5.733,1.87,1.381,0.165,0.161,19.2,,400,,,,,,0.0,,,,,,,,,,,,,,,
승촌보,2012-06-14,2회차,,27.0,14.2,6.3,15.7,72.5,6.172999999999999,0.32899999999999996,9.7,8.3,0.0,346,340,,,,,,,,,,,,,5.651,3.239,1.26,0.276,0.255,13.9,,195,,,,,,,,,,,,,,,,,,,,19.36,
승촌보,2012-06-19,3회차,,25.7,11.4,12.2,14.3,143.5,6.002999999999999,0.318,9.2,7.9,0.0,349,360,,,,,,,,,,,,,5.396,2.833,1.158,0.205,0.18600000000000003,18.4,,70,,,,,,,,,,,,,,,,,,,,26.55,
승촌보,2012-06-28,4회차,,26.6,10.4,6.0,12.5,50.2,7.086,0.48700000000000004,9.4,7.1,0.0,406,120,,,,,,,,,,,,,6.662999999999999,4.0969999999999995,1.31,0.395,0.305,12.0,,14,,,,,,,,,,,,,,,,,,,,16.625,
죽산보,2012-07-02,1회차,,27.2,9.6,7.4,14.0,99.1,5.655,0.369,7.3,8.1,0.0,249,5000,,,,,,,,,,,,,5.382000000000001,2.208,1.254,0.27899999999999997,0.19,16.8,,30,,,,,,,,,,,,,,,,,,,,,
승촌보,2012-07-04,1회차,,25.8,12.1,6.8,15.3,146.9,3.65,0.209,8.8,7.6,0.0,305,140,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.227,1.3230000000000002,1.067,0.11900000000000001,0.096,19.9,,110,,,,,,0.0,,,,,,,0.0,0.0,,,,,,86.417,
승촌보,2012-07-12,2회차,,24.5,7.7,4.3,9.0,9.1,2.93,0.156,5.3,6.6,0.0,150,32000,,,,,,,,,,,,,2.84,0.526,1.614,0.115,0.11,34.9,,8400,,,,,,,,,,,,,,,,,,,,156.417,
승촌보,2012-07-16,3회차,,23.0,9.3,3.2,6.8,5.1,2.6430000000000002,0.11699999999999999,4.1,6.8,0.0,123,60000,,,,,,,,,,,,,2.5780000000000003,0.23399999999999999,2.035,0.10099999999999999,0.08900000000000001,36.5,,10600,,,,,,,,,,,,,,,,,,,,232.167,
승촌보,2012-07-26,4회차,,31.4,13.0,5.1,8.6,29.9,3.2,0.129,5.7,9.3,0.0,255,115,,,,,,,,,,,,,2.935,0.325,1.993,0.067,0.037000000000000005,6.5,,56,,,,,,,,,,,,,,,,,,,,24.5,
승촌보,2012-07-31,5회차,,31.3,8.8,5.3,11.2,71.2,3.299,0.138,6.6,8.1,0.0,288,100,,,,,,,,,,,,,3.197,0.9620000000000001,1.79,0.08800000000000001,0.079,11.1,,2,,,,,,,,,,,,,,,,,,,,15.075999999999999,
