"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2019/01/07","1회차","","6.0","12.5","5.4","8.5","31.4","9.091","0.165","8.5","8.2","0.000","473","400","","","","","","","","","","","","","8.211","3.550","3.964","0.071","0.028","7.3","","30","","","","","","","","","","","","","","","","","","","","6.029",""
"영산포1","2019/01/07","1회차","","5.6","15.0","3.6","6.8","34.6","7.384","0.087","4.0","7.3","정량한계미만","437","180","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","7.289","2.404","3.866","0.036","0.012","13.2","","10","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2019/01/14","2회차","","7.6","12.1","3.5","7.4","44.7","9.184","0.171","8.0","7.5","0.000","475","220","0.00003","0.00","0.00012","0.000","0.00071","0.0000000","","","","","","","8.615","3.591","3.686","0.093","0.037","10.1","","26","","","","","","0.00","","","","","","","","","0.0002","","","","","6.814",""
"영산포1","2019/01/14","2회차","","6.7","14.2","4.0","7.6","85.4","7.345","0.120","4.4","7.1","정량한계미만","453","320","","","","","","","","","","","","","7.079","2.301","4.070","0.053","0.033","14.0","","78","","","","","","","","","","","","","","","","","","","","",""
"광산","2019/01/21","3회차","","6.8","12.1","4.2","8.5","32.4","9.308","0.136","6.7","7.6","0.000","489","300","","","","","","","","","","","","","9.295","4.264","3.486","0.051","0.025","10.0","","32","","","","","","","","","","","","","","","","","","","","6.606",""
"영산포1","2019/01/21","3회차","","7.2","14.3","3.6","7.1","53.9","4.334","0.075","4.8","7.7","정량한계미만","406","70","","","","","","","","","","","","","4.243","0.858","2.424","0.033","0.007","20.0","","12","","","","","","","","","","","","","","","","","","","","",""
"광산","2019/01/28","4회차","","6.5","13.3","5.5","11.4","59.6","9.210","0.145","8.9","7.8","0.000","503","2000","","","","","","","","","","","","","9.204","4.482","3.545","0.049","0.007","13.0","","46","","","","","","","","","","","","","","","","","","","","6.281",""
"영산포1","2019/01/28","4회차","","6.7","13.6","8.2","10.9","80.5","7.546","0.124","5.7","8.4","정량한계미만","458","220","","","","","","","","","","","","","7.260","2.324","4.024","0.036","0.008","25.6","","56","","","","","","","","","","","","","","","","","","","","",""
"광산","2019/02/07","1회차","","8.1","8.9","6.6","14.2","99.0","5.577","0.246","11.3","7.4","0.000","394","11000","","","","","","","","","","","","","5.529","2.636","2.457","0.058","0.033","20.8","","3900","","","","","","","","","","","","","","","","","","","","7.706",""
"영산포1","2019/02/11","1회차","","4.9","14.2","6.7","11.7","208.0","6.302","0.160","7.0","7.7","정량한계미만","400","2100","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","5.584","1.535","2.735","0.037","0.006","27.2","","170","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2019/02/11","2회차","","5.9","13.5","6.6","13.6","121.4","9.075","0.151","9.2","8.1","0.000","454","4200","0.00002","0.00","0.00017","0.000","0.00086","0.0000002","","","","","","","7.992","4.231","3.007","0.043","0.019","17.7","","130","","","","","","0.00","","","","","","","","","0.0002","","","","","6.805",""
"영산포1","2019/02/18","2회차","","4.8","13.1","4.3","9.9","80.3","6.294","0.079","5.0","8.0","정량한계미만","390","200","","","","","","","","","","","","","5.693","2.238","2.444","0.032","0.004","12.4","","7","","","","","","","","","","","","","","","","","","","","",""
"광산","2019/02/18","3회차","","7.0","15.6","5.9","13.5","92.2","8.100","0.190","10.9","7.7","0.000","469","2700","","","","","","","","","","","","","8.085","4.253","3.433","0.039","0.009","20.3","","80","","","","","","","","","","","","","","","","","","","","6.763",""
"영산포1","2019/02/25","3회차","","10.1","12.9","6.6","11.6","184.9","6.761","0.183","6.3","7.9","정량한계미만","333","1900","","","","","","","","","","","","","5.913","1.342","2.455","0.045","0.006","23.2","","148","","","","","","","","","","","","","","","","","","","","",""
"광산","2019/02/25","4회차","","9.0","11.6","7.1","14.9","148.2","7.637","0.194","10.7","8.0","0.000","418","15000","","","","","","","","","","","","","6.807","3.988","2.667","0.051","0.012","17.6","","620","","","","","","","","","","","","","","","","","","","","7.848",""
"광산","2019/03/04","1회차","","12.0","12.8","5.2","10.7","68.1","8.738","0.112","8.7","7.6","0.000","472","900","0.00001","0.00","0.00013","0.000","0.00087","0.0000000","","","","","","","8.727","5.474","2.781","0.068","0.012","10.1","0.000","30","","","","","","0.00","0.000","0.000","0.0000","0.0000","0.0000","0.0000","","","0.0003","0.000","","0.000","","6.728","0.000"
"영산포1","2019/03/04","1회차","","10.9","14.2","8.1","9.5","156.4","7.316","0.100","6.5","7.8","정량한계미만","377","760","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","6.822","2.591","2.761","0.033","0.008","25.2","","42","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2019/03/11","2회차","","12.1","8.7","6.0","12.2","76.8","9.938","0.181","9.3","7.5","0.000","487","59000","","","","","","","","","","","","","9.909","6.386","2.790","0.066","0.014","11.5","","6200","","","","","","","","","","","","","","","","","","","","6.155",""
"영산포1","2019/03/11","2회차","","11.3","11.9","6.7","8.7","32.0","8.080","0.160","5.5","7.5","정량한계미만","361","2400","","","","","","","","","","","","","7.451","3.414","2.348","0.041","0.010","22.4","","700","","","","","","","","","","","","","","","","","","","","",""
"광산","2019/03/18","3회차","","12.1","12.1","6.9","14.7","80.5","8.278","0.260","9.9","7.8","0.000","469","3500","","","","","","","","","","","","","8.243","5.685","2.529","0.079","0.016","14.2","","100","","","","","","","","","","","","","","","","","","","","5.857",""
"영산포1","2019/03/18","3회차","","10.4","15.4","5.6","9.7","86.2","5.772","0.147","5.3","7.9","정량한계미만","307","360","","","","","","","","","","","","","4.695","2.210","2.252","0.051","0.024","21.6","","128","","","","","","","","","","","","","","","","","","","","",""
"광산","2019/03/25","4회차","","11.8","8.0","5.9","12.4","41.4","6.130","0.223","8.0","8.1","0.000","387","27000","","","","","","","","","","","","","5.922","3.033","2.491","0.103","0.066","12.8","","800","","","","","","","","","","","","","","","","","","","","16.455",""
"영산포1","2019/03/25","4회차","","11.5","14.4","3.9","10.0","98.2","6.226","0.131","5.2","8.3","정량한계미만","311","1380","","","","","","","","","","","","","6.176","2.555","1.845","0.037","0.013","69.6","","72","","","","","","","","","","","","","","","","","","","","",""
"광산","2019/04/01","1회차","","12.2","8.6","5.5","11.3","24.1","8.005","0.200","8.9","8.1","0.000","471","6300","0.00000","0.00","0.00004","0.000","0.00098","0.0000000","","","","","","","7.515","3.618","3.090","0.097","0.024","22.4","","130","","","","","","0.00","","","","","","","","","0.0003","","","","","18.307",""
"영산포1","2019/04/01","1회차","","13.5","12.9","5.7","10.0","69.2","6.240","0.159","5.9","7.7","정량한계미만","315","600","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","5.460","1.783","1.864","0.063","0.015","12.4","","104","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2019/04/08","2회차","","14.8","7.9","7.2","15.6","26.0","8.106","0.580","11.1","8.2","0.000","380","53000","","","","","","","","","","","","","8.088","5.769","1.339","0.394","0.268","21.2","","9500","","","","","","","","","","","","","","","","","","","","13.035",""
"영산포1","2019/04/08","2회차","","14.8","11.2","4.4","10.8","17.4","6.760","0.107","6.1","7.4","정량한계미만","409","140","","","","","","","","","","","","","6.741","3.013","1.903","0.041","0.011","9.2","","34","","","","","","","","","","","","","","","","","","","","",""
