"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2013/01/04","1회차","","3.1","10.8","3.1","6.4","4.1","6.424","0.159","4.2","7.1","0.000","439","6200","","","","","","","","","","","","","6.244","2.578","3.133","0.124","0.112","4.6","","280","","","","","","","","","","","","","","","","","","","","15.764",""
"영산포1","2013/01/07","1회차","","2.8","15.8","1.8","4.9","14.4","5.376","0.113","2.8","6.9","0.000","602","300","","0.00","","","","","","","","","","","5.319","1.677","3.352","0.085","0.051","4.0","","10","","","","","","","","","","","","","","","","","","","","",""
"광산","2013/01/10","2회차","","3.4","11.7","3.0","6.5","4.9","7.325","0.123","4.6","7.3","0.000","442","3800","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","7.116","3.473","3.610","0.094","0.083","3.0","","24","","","","","","0.00","","","","","","","","","","","","","","12.694",""
"광산","2013/01/15","3회차","","4.3","12.2","3.6","7.2","12.1","7.663","0.133","4.7","6.6","0.000","433","1400","","","","","","","","","","","","","7.313","3.612","3.331","0.102","0.086","4.5","","32","","","","","","","","","","","","","","","","","","","","12.528",""
"광산","2013/01/23","4회차","","5.9","10.6","4.1","8.2","17.3","7.319","0.172","5.6","7.1","0.000","398","13200","","","","","","","","","","","","","7.282","3.977","2.483","0.119","0.107","10.4","","1100","","","","","","","","","","","","","","","","","","","","25.750",""
"광산","2013/01/28","5회차","","3.3","13.1","3.7","8.5","23.0","5.817","0.112","4.8","7.3","0.000","374","6200","","","","","","","","","","","","","5.535","2.518","2.497","0.084","0.078","6.5","","114","","","","","","","","","","","","","","","","","","","","16.792",""
"영산포1","2013/02/05","1회차","","6.2","10.4","3.0","6.6","15.9","5.766","0.145","3.2","8.1","0.000","335","6400","","","","","","","","","","","","","5.441","2.010","2.387","0.120","0.110","10.4","","140","","","","","","","","","","","","","","","","","","","","",""
"광산","2013/02/06","1회차","","5.8","9.9","4.9","5.9","5.8","4.813","0.168","5.3","7.2","0.000","249","74000","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","4.767","1.863","2.110","0.139","0.125","16.0","","7400","","","","","","0.00","","","","","","","","","","","","","","56.590",""
"광산","2013/02/12","2회차","","3.2","11.9","4.1","7.2","2.6","5.590","0.152","4.4","7.2","0.000","294","15000","","","","","","","","","","","","","5.540","2.679","2.518","0.126","0.109","8.4","","1500","","","","","","","","","","","","","","","","","","","","20.486",""
"광산","2013/02/18","3회차","","5.3","10.8","2.2","5.8","4.1","5.937","0.131","4.0","7.2","0.000","305","10400","","","","","","","","","","","","","5.910","2.963","2.410","0.094","0.085","4.5","","60","","","","","","","","","","","","","","","","","","","","26.243",""
"광산","2013/02/25","4회차","","5.6","11.5","1.8","5.7","5.5","4.445","0.090","3.8","7.2","0.000","274","4800","","","","","","","","","","","","","4.055","2.083","1.760","0.063","0.056","4.0","","6","","","","","","","","","","","","","","","","","","","","20.458",""
"영산포1","2013/03/05","1회차","","8.1","15.1","3.4","6.2","55.7","4.622","0.074","2.6","8.2","0.000","246","260","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","0.0000","","","","4.544","2.050","2.205","0.054","0.052","7.6","","14","","","","","","0.00","","","","","","","","","","","","","","",""
"광산","2013/03/07","1회차","","9.2","13.5","5.7","10.5","96.4","6.290","0.208","6.5","7.2","0.000","376","1300","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","6.189","3.452","2.463","0.036","0.013","11.3","","10","","","","","","0.00","0.000","0.000","0.0000","0.0000","0.0000","0.0000","","","","0.000","","","","10.118",""
"광산","2013/03/12","2회차","","13.3","14.7","6.5","12.9","80.7","8.265","0.180","7.0","8.2","0.000","386","9200","","","","","","","","","","","","","6.753","4.130","2.351","0.030","0.009","11.2","","360","","","","","","","","","","","","","","","","","","","","9.500",""
"광산","2013/03/19","3회차","","13.2","8.8","6.7","11.3","23.6","3.866","0.169","5.7","7.1","0.000","210","76000","","","","","","","","","","","","","3.681","1.128","2.504","0.114","0.100","37.0","","18000","","","","","","","","","","","","","","","","","","","","93.500",""
"광산","2013/03/27","4회차","","12.9","12.6","3.9","6.9","46.9","5.522","0.113","5.3","7.6","0.000","300","1400","","","","","","","","","","","","","5.303","2.874","2.149","0.064","0.048","8.0","","132","","","","","","","","","","","","","","","","","","","","15.521",""
"광산","2013/04/01","1회차","","13.4","12.9","5.5","9.4","64.0","7.772","0.074","6.0","7.6","0.000","362","680","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","7.647","4.561","1.933","0.031","0.008","13.0","","26","","","","","","0.00","","","","","","","","","","","","","","11.896",""
"영산포1","2013/04/08","1회차","","13.7","11.9","4.7","7.5","52.2","5.774","0.071","3.2","8.5","0.000","263","1400","","0.00","","","","","","","","","","","5.229","2.306","2.161","0.039","0.009","9.6","","96","","","","","","0.00","","","","","","","","","","","","","","",""
"광산","2013/04/10","2회차","","12.0","10.0","5.4","8.9","77.4","6.291","0.118","5.7","8.0","0.000","327","4900","","","","","","","","","","","","","5.858","3.538","1.483","0.054","0.037","12.5","","520","","","","","","","","","","","","","","","","","","","","15.924",""
"광산","2013/04/17","3회차","","15.4","11.8","5.9","12.2","84.9","7.963","0.071","5.5","7.8","0.000","393","130","","","","","","","","","","","","","7.311","4.079","1.997","0.029","0.004","11.9","","2","","","","","","","","","","","","","","","","","","","","10.493",""
"광산","2013/04/30","4회차","","17.3","5.5","3.6","8.1","7.7","6.978","0.138","5.4","7.1","0.000","369","19000","","","","","","","","","","","","","6.930","4.046","1.545","0.100","0.082","2.9","","3100","","","","","","","","","","","","","","","","","","","","20.597",""
"광산","2013/05/07","1회차","","20.3","16.3","5.1","11.8","48.8","5.416","0.054","6.0","8.4","0.000","323","450","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","5.207","2.892","1.723","0.040","0.006","7.8","","52","","","","","","0.00","","","","","","","","","","","","","","10.931",""
"영산포1","2013/05/13","1회차","","24.8","15.5","5.8","9.6","105.0","4.662","0.069","4.2","9.0","0.000","332","100","","","","","","","","","","","","","4.425","2.204","1.504","0.058","0.025","10.0","","10","","","","","","","","","","","","","","","","","","","","",""
"광산","2013/05/14","2회차","","23.2","10.4","7.6","14.7","96.1","5.801","0.162","6.5","8.1","0.000","349","10000","","","","","","","","","","","","","5.275","3.281","1.037","0.108","0.077","12.0","","550","","","","","","","","","","","","","","","","","","","","4.778",""
"광산","2013/05/22","3회차","","22.8","8.4","6.5","12.0","101.0","5.975","0.316","7.4","7.6","0.000","354","9400","","","","","","","","","","","","","5.729","3.730","1.219","0.230","0.228","13.1","","1400","","","","","","","","","","","","","","","","","","","","20.764",""
"광산","2013/05/27","4회차","","22.2","5.7","6.2","12.1","40.7","6.853","0.435","6.7","7.2","0.000","394","14600","","","","","","","","","","","","","6.618","4.780","0.905","0.404","0.387","11.2","","2200","","","","","","","","","","","","","","","","","","","","90.500",""
