"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2018/01/02","1회차","","6.9","13.8","5.8","10.7","24.9","8.828","0.099","7.2","7.2","0.000","541","700","","","","","","","","","","","","","8.462","5.464","2.281","0.036","0.008","10.6","","40","","","","","","","","","","","","","","","","","","","","6.988",""
"영산포1","2018/01/02","1회차","","6.2","15.4","5.0","10.6","105.3","7.427","0.140","5.3","7.7","정량한계미만","450","1080","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","7.298","3.166","2.351","0.031","0.007","14.4","","96","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2018/01/08","2회차","","6.3","13.0","5.9","10.8","42.1","9.144","0.075","7.5","7.0","0.000","534","3000","","","","","","","","","","","","","8.865","5.513","2.465","0.029","0.017","8.5","","15","","","","","","","","","","","","","","","","","","","","6.630",""
"영산포1","2018/01/08","2회차","","4.8","10.5","7.5","11.1","166.1","6.986","0.110","5.5","8.5","정량한계미만","421","1200","","","","","","","","","","","","","6.110","1.803","2.965","0.029","0.007","26.4","","92","","","","","","","","","","","","","","","","","","","","",""
"광산","2018/01/15","3회차","","5.3","13.3","6.9","12.0","80.8","9.233","0.166","9.6","7.0","0.000","730","12000","0.00001","0.00","0.00018","0.000","0.00081","0.0000006","","","","","","","8.478","5.473","2.529","0.046","0.011","14.0","","280","","","","","","0.00","","","","","","","","","0.0003","","","","","12.400",""
"영산포1","2018/01/15","3회차","","4.2","19.4","5.2","10.8","137.5","8.516","0.079","5.5","8.4","정량한계미만","439","800","","","","","","","","","","","","","8.420","3.538","2.774","0.031","0.006","13.2","","184","","","","","","","","","","","","","","","","","","","","",""
"광산","2018/01/22","4회차","","7.0","13.2","7.0","12.5","67.2","8.063","0.159","9.8","7.5","0.000","499","2400","","","","","","","","","","","","","7.576","5.009","2.138","0.034","0.015","17.6","","64","","","","","","","","","","","","","","","","","","","","3.250",""
"영산포1","2018/01/22","4회차","","7.2","14.2","5.5","11.4","109.0","7.616","0.160","6.2","8.0","정량한계미만","436","1440","","","","","","","","","","","","","7.836","3.112","2.269","0.085","0.062","21.2","","108","","","","","","","","","","","","","","","","","","","","",""
"광산","2018/01/29","5회차","","3.6","14.4","6.4","12.1","67.3","9.149","0.126","8.7","7.5","0.000","501","1000","","","","","","","","","","","","","7.957","5.303","2.185","0.036","0.013","14.1","","480","","","","","","","","","","","","","","","","","","","","7.180",""
"광산","2018/02/05","1회차","","4.5","13.3","4.2","8.8","51.1","10.590","0.123","7.5","7.5","0.000","516","860","0.00000","0.00","0.00011","0.000","0.00073","0.0000013","","","","","","","10.379","8.190","1.889","0.035","0.000","8.2","","110","","","","","","0.00","","","","","","","","","0.0002","","","","","11.800",""
