"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"영산포1","2020/03/02","1회차","","10.0","11.2","6.0","8.4","137.3","5.947","0.150","4.8","7.6","정량한계미만","385","4200","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","5.468","2.182","2.257","0.065","0.045","16.4","","420","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2020/03/09","2회차","","11.3","10.5","6.0","9.0","31.5","7.135","0.150","7.4","7.1","0.000","382","32000","","","","","","","","","","","","","6.643","3.580","2.698","0.038","0.011","12.5","","4100","","","","","","","","","","","","","","","","","","","","15.254",""
"영산포1","2020/03/09","2회차","","10.3","15.5","5.8","10.5","190.9","4.439","0.093","5.4","8.5","정량한계미만","333","580","","","","","","","","","","","","","3.549","1.080","2.246","0.022","0.010","20.4","","160","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/03/16","3회차","","11.1","13.6","6.6","12.6","88.4","6.951","0.131","8.4","7.6","0.000","392","2700","","","","","","","","","","","","","6.677","3.531","2.546","0.032","0.005","19.0","","120","","","","","","","","","","","","","","","","","","","","10.424",""
"영산포1","2020/03/16","3회차","","11.1","15.8","5.6","12.4","187.9","5.663","0.126","4.8","8.8","정량한계미만","320","450","","","","","","","","","","","","","4.638","1.622","2.378","0.028","0.006","20.8","","92","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/03/23","4회차","","14.7","14.6","6.5","13.7","107.3","7.233","0.106","8.1","8.2","0.000","431","1500","","","","","","","","","","","","","6.615","3.121","3.007","0.029","0.004","19.6","","60","","","","","","","","","","","","","","","","","","","","7.231",""
"영산포1","2020/03/23","4회차","","14.4","15.1","5.6","10.7","94.3","4.358","0.062","5.4","8.7","정량한계미만","367","450","","","","","","","","","","","","","3.973","1.383","2.497","0.020","0.000","16.4","","20","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/03/30","5회차","","13.2","10.1","8.7","12.5","121.6","4.772","0.237","9.7","7.3","0.000","335","21000","","","","","","","","","","","","","4.439","2.287","1.538","0.042","0.010","18.4","","1800","","","","","","","","","","","","","","","","","","","","13.200",""
"영산포1","2020/03/30","5회차","","16.9","11.4","4.1","9.2","32.5","7.183","0.069","5.0","7.8","정량한계미만","427","300","","","","","","","","","","","","","7.004","2.663","2.612","0.036","0.005","8.4","","18","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/04/06","1회차","","14.4","16.3","8.7","15.8","120.9","6.354","0.119","9.6","8.8","0.000","419","1200","0.00001","0.00","0.00009","0.000","0.00070","0.0000006","","","","","","","6.202","2.620","2.829","0.033","0.004","23.7","","49","","","","","","0.00","","","","","","","","","0.0002","","","","","8.863",""
"영산포1","2020/04/06","1회차","","15.5","10.4","4.4","9.8","22.1","3.919","0.111","4.7","7.7","정량한계미만","346","940","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","3.590","1.300","1.805","0.047","0.035","8.0","","5","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2020/04/13","2회차","","14.6","10.7","6.8","12.9","61.4","8.776","0.089","8.1","7.3","0.000","469","900","","","","","","","","","","","","","8.717","4.866","3.177","0.059","0.013","14.0","","30","","","","","","","","","","","","","","","","","","","","10.600",""
"영산포1","2020/04/13","2회차","","14.2","11.9","13.3","15.3","183.7","6.386","0.083","6.7","8.4","정량한계미만","404","60","","","","","","","","","","","","","3.269","0.889","1.423","0.042","0.016","15.2","","8","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/04/20","3회차","","15.0","3.4","7.6","13.2","19.6","7.305","0.280","9.0","6.8","0.000","326","25000","","","","","","","","","","","","","6.252","4.933","1.046","0.169","0.145","18.5","","11000","","","","","","","","","","","","","","","","","","","","33.639",""
"영산포1","2020/04/20","3회차","","15.5","10.0","4.7","9.7","59.3","6.055","0.099","5.0","7.8","정량한계미만","342","2000","","","","","","","","","","","","","5.775","2.621","2.022","0.063","0.025","12.0","","800","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/04/27","4회차","","16.5","13.7","7.5","14.8","60.9","7.056","0.107","8.9","7.9","0.000","412","2200","","","","","","","","","","","","","6.559","3.393","2.505","0.037","0.005","16.4","","110","","","","","","","","","","","","","","","","","","","","10.600",""
"영산포1","2020/04/27","4회차","","17.5","10.9","4.3","8.3","45.7","3.623","0.077","4.9","8.5","정량한계미만","283","1360","","","","","","","","","","","","","3.592","1.244","1.526","0.037","0.004","7.2","","208","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/05/04","1회차","","19.9","1.6","8.2","12.1","14.0","6.655","0.231","9.5","6.7","0.000","340","70000","0.00001","0.00","0.00013","0.000","0.00079","0.0000000","","","","","","","5.835","4.595","1.201","0.142","0.098","16.8","","7000","","","","","","0.00","","","","","","","","","0.0003","","","","","19.830",""
"영산포1","2020/05/04","1회차","","22.1","9.9","3.9","9.5","26.8","5.759","0.105","5.0","7.7","정량한계미만","374","3100","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","5.597","2.197","1.999","0.049","0.032","8.8","","2000","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2020/05/11","2회차","","19.4","4.2","6.3","11.4","26.3","3.739","0.209","7.1","7.0","0.000","290","13000","","","","","","","","","","","","","3.696","2.374","0.752","0.137","0.108","7.9","","3600","","","","","","","","","","","","","","","","","","","","20.745",""
"영산포1","2020/05/11","2회차","","18.7","8.8","4.0","8.8","11.6","4.504","0.138","5.3","7.5","정량한계미만","309","6000","","","","","","","","","","","","","4.395","2.712","1.432","0.106","0.072","9.2","","1060","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/05/18","3회차","","21.2","6.0","6.7","12.1","66.5","3.762","0.139","7.9","6.8","0.000","293","3900","","","","","","","","","","","","","3.294","1.927","0.975","0.069","0.040","11.5","","540","","","","","","","","","","","","","","","","","","","","22.787",""
"영산포1","2020/05/18","3회차","","21.8","10.0","10.0","12.2","56.0","4.510","0.127","5.7","7.9","정량한계미만","276","252","","","","","","","","","","","","","4.041","1.467","1.494","0.055","0.015","16.8","","160","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/05/25","4회차","","21.6","6.8","6.5","10.2","58.5","5.273","0.115","7.1","6.9","0.000","347","4900","","","","","","","","","","","","","4.957","2.527","1.648","0.052","0.028","17.6","","2000","","","","","","","","","","","","","","","","","","","","19.356",""
"영산포1","2020/05/25","4회차","","21.7","10.1","7.8","12.2","65.1","3.135","0.128","5.6","8.1","정량한계미만","244","760","","","","","","","","","","","","","2.579","0.513","1.150","0.046","0.017","15.2","","400","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/06/01","1회차","","22.9","6.7","6.0","10.1","38.1","4.879","0.116","6.4","6.9","0.000","346","47000","0.00001","0.00","0.00005","0.000","0.00088","0.0000007","","","","","","","4.605","2.502","1.390","0.051","0.026","10.7","","210","","","","","","0.00","","","","","","","","","0.0002","","","","","26.277",""
"영산포1","2020/06/01","1회차","","21.6","8.3","4.0","10.3","28.8","4.061","0.119","6.2","7.6","정량한계미만","282","156","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","3.787","1.208","1.369","0.066","0.034","10.8","","120","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2020/06/08","2회차","","26.6","8.5","6.8","13.1","90.7","5.220","0.150","7.3","7.4","0.000","333","1400","","","","","","","","","","","","","4.783","2.208","1.618","0.039","0.010","17.8","","390","","","","","","","","","","","","","","","","","","","","16.972",""
"영산포1","2020/06/08","2회차","","29.3","10.4","2.6","11.4","30.2","3.985","0.047","6.2","8.2","정량한계미만","300","152","","","","","","","","","","","","","3.784","1.337","1.378","0.035","0.010","9.6","","80","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/06/15","3회차","","24.6","5.4","6.9","10.8","8.2","3.173","0.196","7.1","7.2","0.000","184","62000","","","","","","","","","","","","","3.104","0.920","1.490","0.153","0.129","24.2","","41000","","","","","","","","","","","","","","","","","","","","57.430",""
"영산포1","2020/06/15","3회차","","28.1","6.3","2.5","9.3","8.4","3.181","0.163","5.8","7.3","정량한계미만","182","3500","","","","","","","","","","","","","2.920","0.718","1.461","0.132","0.121","11.2","","1100","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/06/22","4회차","","26.1","7.3","5.6","10.1","57.4","3.683","0.128","6.3","7.3","0.000","243","2200","","","","","","","","","","","","","3.425","0.708","1.982","0.046","0.023","12.2","","2000","","","","","","","","","","","","","","","","","","","","31.500",""
"영산포1","2020/06/22","4회차","","27.3","11.6","12.7","14.7","208.5","3.252","0.187","5.6","8.8","정량한계미만","186","4000","","","","","","","","","","","","","2.719","0.133","1.798","0.080","0.036","21.6","","1200","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/07/01","1회차","","23.1","5.5","6.0","9.9","20.1","3.282","0.198","7.6","7.5","0.000","228","79000","","","","","","","","","","","","","3.195","1.025","1.413","0.140","0.119","11.1","","31000","","","","","","","","","","","","","","","","","","","","29.735",""
"영산포1","2020/07/06","1회차","","21.7","12.7","3.7","9.0","84.5","2.775","0.096","6.0","7.8","정량한계미만","219","1260","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","2.677","0.389","1.558","0.032","0.012","12.0","","600","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
