"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2017/01/02","1회차","","6.2","11.1","3.3","6.5","26.4","5.900","0.142","5.8","7.4","0.000","420","4100","","","","","","","","","","","","","5.647","1.744","2.760","0.081","0.057","5.0","","70","","","","","","","","","","","","","","","","","","","","15.287",""
"영산포1","2017/01/03","1회차","","8.1","13.5","4.2","6.3","15.6","4.262","0.050","3.2","7.9","정량한계미만","319","1800","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","3.915","0.690","2.347","0.031","0.030","8.0","","120","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2017/01/09","2회차","","8.3","12.7","3.1","6.7","43.8","6.049","0.096","5.1","6.6","0.000","417","1400","0.00001","0.00","0.00011","0.000","0.00053","0.0000005","","","","","","","6.013","1.669","3.461","0.033","0.012","6.9","","20","","","","","","0.00","","","","","","","","","0.0002","","","","","10.394",""
"영산포1","2017/01/10","2회차","","7.0","13.9","4.5","6.9","29.7","4.865","0.108","2.8","7.8","정량한계미만","341","1000","","","","","","","","","","","","","4.760","0.950","2.751","0.050","0.032","9.6","","270","","","","","","","","","","","","","","","","","","","","",""
"광산","2017/01/16","3회차","","5.3","14.6","4.3","7.9","45.9","5.963","0.106","5.6","6.8","0.000","404","1200","","","","","","","","","","","","","5.598","1.416","3.415","0.022","0.000","14.4","","80","","","","","","","","","","","","","","","","","","","","12.311",""
"영산포1","2017/01/16","3회차","","6.1","16.1","4.6","8.0","76.8","5.758","0.076","5.2","8.1","정량한계미만","373","900","","","","","","","","","","","","","5.305","0.838","3.167","0.024","0.004","16.4","","170","","","","","","","","","","","","","","","","","","","","",""
"광산","2017/01/24","4회차","","5.1","14.7","4.8","7.7","56.5","6.268","0.115","6.1","7.7","0.000","426","1100","","","","","","","","","","","","","6.051","1.693","3.546","0.025","0.005","9.6","","40","","","","","","","","","","","","","","","","","","","","11.580",""
"영산포1","2017/01/24","4회차","","4.2","17.7","4.5","8.5","133.8","5.686","0.074","5.7","8.1","정량한계미만","485","3200","","","","","","","","","","","","","5.301","0.799","3.425","0.015","0.004","17.6","","140","","","","","","","","","","","","","","","","","","","","",""
"광산","2017/01/31","5회차","","5.7","12.4","4.3","7.0","41.8","8.056","0.109","5.9","6.5","0.000","495","80","","","","","","","","","","","","","7.710","2.937","4.099","0.040","0.019","8.9","","60","","","","","","","","","","","","","","","","","","","","11.850",""
"영산포1","2017/02/01","1회차","","4.8","15.8","5.4","8.6","143.4","6.964","0.066","5.1","8.2","정량한계미만","350","340","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","6.376","0.818","3.748","0.021","0.003","16.4","","110","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2017/02/06","1회차","","6.3","11.5","4.9","8.8","31.4","9.113","0.217","7.2","7.7","0.000","464","4300","0.00001","0.00","0.00015","0.000","0.00068","0.0000011","","","","","","","8.543","4.349","3.469","0.073","0.043","9.8","","50","","","","","","0.00","","","","","","","","","0.0002","","","","","12.698",""
"영산포1","2017/02/07","2회차","","5.6","15.1","4.2","8.1","118.2","6.330","0.082","5.2","8.0","정량한계미만","379","200","","","","","","","","","","","","","5.737","0.856","3.562","0.017","0.003","19.2","","48","","","","","","","","","","","","","","","","","","","","",""
"광산","2017/02/13","2회차","","6.1","14.6","5.9","9.2","99.0","8.256","0.113","8.4","7.6","0.000","485","1600","","","","","","","","","","","","","8.079","3.867","3.088","0.024","0.024","14.2","","22","","","","","","","","","","","","","","","","","","","","13.329",""
"영산포1","2017/02/14","3회차","","5.5","14.7","5.5","8.1","137.1","7.628","0.084","5.5","8.6","정량한계미만","419","270","","","","","","","","","","","","","6.938","1.785","3.393","0.019","0.006","10.4","","140","","","","","","","","","","","","","","","","","","","","",""
"광산","2017/02/20","3회차","","8.3","15.3","6.3","9.8","73.1","8.713","0.162","8.7","6.3","0.000","538","780","","","","","","","","","","","","","7.712","4.496","2.976","0.029","0.007","18.8","","21","","","","","","","","","","","","","","","","","","","","25.102",""
"영산포1","2017/02/20","4회차","","6.7","15.5","4.9","8.7","118.6","7.858","0.071","4.6","8.4","정량한계미만","378","270","","","","","","","","","","","","","7.786","1.793","3.449","0.020","0.005","16.0","","156","","","","","","","","","","","","","","","","","","","","",""
"광산","2017/02/27","4회차","","7.4","13.7","5.0","8.5","73.7","4.608","0.122","6.7","7.1","0.000","404","5600","","","","","","","","","","","","","4.256","1.336","2.332","0.046","0.004","16.0","","230","","","","","","","","","","","","","","","","","","","","16.855",""
"영산포1","2017/02/28","5회차","","9.6","14.3","4.4","9.6","124.3","7.444","0.130","6.2","8.3","정량한계미만","418","960","","","","","","","","","","","","","6.755","3.282","2.520","0.029","0.008","16.4","","150","","","","","","","","","","","","","","","","","","","","",""
