"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2021/01/04","1회차","","5.9","12.7","5.8","8.5","66.9","9.644","0.272","7.2","7.0","0.000","631","3400","","","","","","","","","","","","","9.393","5.148","3.405","0.097","0.074","10.7","","820","","","","","","","","","","","","","","","","","","","","10.306",""
"영산포1","2021/01/05","1회차","","5.0","17.7","6.9","12.9","190.3","8.102","0.094","4.4","8.4","정량한계미만","420","1220","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","7.768","2.183","3.975","0.043","0.021","20.8","","420","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"영산포1","2021/01/11","2회차","","2.5","19.0","4.8","9.7","52.6","7.544","0.094","4.7","9.1","정량한계미만","448","720","","","","","","","","","","","","","7.339","2.494","3.801","0.022","0.004","10.4","","164","","","","","","","","","","","","","","","","","","","","",""
"광산","2021/01/14","2회차","","5.3","13.5","4.7","8.6","47.4","10.516","0.120","5.1","7.4","0.000","508","4800","","","","","","","","","","","","","10.511","6.200","3.350","0.027","0.007","10.9","","190","","","","","","","","","","","","","","","","","","","","13.200",""
"광산","2021/01/19","3회차","","5.2","12.4","3.9","7.7","49.4","10.447","0.218","4.0","7.2","0.000","478","3400","0.00000","0.00","0.00012","0.000","0.00077","0.0000000","","","","","","","9.364","6.558","2.790","0.065","0.063","8.3","","660","","","","","","0.00","","","","","","","","","0.0002","","","","","12.458",""
"영산포1","2021/01/19","3회차","","5.4","21.3","5.8","13.2","126.5","8.519","0.115","4.7","8.5","정량한계미만","436","2000","","","","","","","","","","","","","7.911","2.888","3.839","0.031","0.004","18.0","","560","","","","","","","","","","","","","","","","","","","","",""
"광산","2021/01/25","4회차","","8.7","9.0","4.6","8.4","51.4","8.090","0.305","5.6","7.1","0.000","500","21000","","","","","","","","","","","","","8.066","5.866","2.183","0.215","0.162","9.7","","1200","","","","","","","","","","","","","","","","","","","","12.248",""
"영산포1","2021/01/25","4회차","","7.5","18.4","6.3","14.4","25.6","8.853","0.175","5.1","8.7","정량한계미만","397","6800","","","","","","","","","","","","","8.494","3.746","3.202","0.067","0.042","18.4","","840","","","","","","","","","","","","","","","","","","","","",""
"광산","2021/02/01","1회차","","7.7","12.1","4.8","8.7","63.5","9.422","0.150","5.3","7.2","0.000","484","5600","0.00000","0.00","0.00007","0.000","0.00069","0.0000000","","","","","","","8.830","5.695","3.112","0.032","0.009","12.5","","800","","","","","","0.00","","","","","","","","","0.0002","","","","","31.740",""
"영산포1","2021/02/02","1회차","","6.1","17.1","8.0","14.7","163.5","7.370","0.172","5.7","8.8","정량한계미만","378","4000","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","6.862","3.375","2.694","0.100","0.055","22.8","","520","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
