"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2014/01/07","1회차","","6.2","14.7","3.3","6.7","12.0","7.827","0.088","4.8","7.3","0.000","429","480","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","7.748","3.600","4.037","0.026","0.007","6.9","","12","","","","","","0.00","","","","","","","","","0.0000","","","","","12.069",""
"영산포1","2014/01/13","1회차","","4.5","13.9","3.7","9.6","112.2","7.015","0.058","3.5","8.1","0.000","391","900","","","","","","","","","","","","","6.838","1.554","4.268","0.024","0.005","14.4","","60","","","","","","","","","","","","","","","","","","","","",""
"광산","2014/01/13","2회차","","5.2","12.2","3.7","6.9","32.6","8.551","0.077","4.6","7.5","0.000","492","230","","","","","","","","","","","","","7.975","3.564","4.222","0.025","0.003","6.9","","6","","","","","","","","","","","","","","","","","","","","10.958",""
"광산","2014/01/22","3회차","","5.3","14.8","3.9","7.0","28.3","8.706","0.093","5.4","7.7","0.000","514","210","","","","","","","","","","","","","8.501","4.607","3.684","0.029","0.006","9.7","","18","","","","","","","","","","","","","","","","","","","","11.271",""
"광산","2014/01/28","4회차","","6.3","11.4","4.5","7.4","32.1","9.274","0.112","4.4","7.6","0.000","503","460","","","","","","","","","","","","","8.911","4.593","3.329","0.031","0.006","8.8","","8","","","","","","","","","","","","","","","","","","","","11.167",""
"영산포1","2014/02/03","1회차","","6.1","17.1","4.2","9.7","124.2","8.269","0.061","4.1","8.1","0.000","394","800","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","8.050","2.794","4.423","0.021","0.003","13.6","","160","","","","","","0.00","","","","","","","","","0.0000","","","","","",""
"광산","2014/02/04","1회차","","8.0","12.2","7.8","9.5","73.5","9.890","0.180","7.1","7.5","0.000","508","560","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","9.068","5.093","2.746","0.060","0.023","21.9","","94","","","","","","0.00","","","","","","","","","0.0000","","","","","8.896",""
"광산","2014/02/10","2회차","","6.0","11.5","7.4","9.2","79.1","10.957","0.133","6.3","7.8","0.000","473","370","","","","","","","","","","","","","9.804","6.012","2.712","0.038","0.006","13.0","","36","","","","","","","","","","","","","","","","","","","","8.882",""
"광산","2014/02/18","3회차","","7.7","12.9","5.4","10.2","52.9","9.746","0.117","7.9","7.5","0.000","430","420","","","","","","","","","","","","","9.381","6.276","2.857","0.031","0.007","11.9","","12","","","","","","","","","","","","","","","","","","","","9.646",""
"광산","2014/02/24","4회차","","8.5","12.5","5.4","10.8","24.2","9.186","0.106","7.3","7.6","0.000","517","590","","","","","","","","","","","","","8.514","5.810","2.527","0.025","0.002","13.5","","32","","","","","","","","","","","","","","","","","","","","9.993",""
