"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2022/01/03","1회차","","5.7","14.4","5.5","10.4","72.3","7.471","0.163","6.5","7.5","0.000","448","790","","","","","","","","","","","","","7.072","3.193","3.117","0.033","0.007","12.8","","340","","","","","","","","","","","","","","","","","","","","11.360",""
"영산포1","2022/01/04","1회차","","4.9","20.5","5.4","12.1","191.0","6.913","0.130","4.9","8.8","정량한계미만","428","980","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","6.191","0.722","3.589","0.028","0.014","20.4","","16","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2022/01/10","2회차","","6.5","15.1","6.1","10.1","97.2","8.196","0.260","8.4","7.1","0.000","467","390","0.00000","0.00","0.00005","0.000","0.00061","0.0000000","","","","","","","7.232","3.763","2.790","0.043","0.005","10.1","","84","","","","","","0.00","","","","","","","","","0.0001","","","","","11.053",""
"영산포1","2022/01/12","2회차","","4.6","16.8","5.1","12.5","159.9","7.647","0.188","4.9","8.7","정량한계미만","535","1200","","","","","","","","","","","","","6.795","1.858","3.636","0.031","정량한계미만","21.2","","10","","","","","","","","","","","","","","","","","","","","",""
"광산","2022/01/17","3회차","","5.8","13.3","6.9","8.7","54.9","9.409","0.118","6.8","7.3","0.000","475","295","","","","","","","","","","","","","9.190","5.626","2.527","0.039","0.010","11.7","","108","","","","","","","","","","","","","","","","","","","","10.856",""
"영산포1","2022/01/19","3회차","","4.3","17.3","5.9","12.5","164.2","7.623","0.161","4.0","7.7","정량한계미만","447","840","","","","","","","","","","","","","6.808","2.061","3.469","0.028","정량한계미만","22.0","","14","","","","","","","","","","","","","","","","","","","","",""
"광산","2022/01/24","4회차","","7.4","13.9","5.8","10.0","71.9","10.126","0.229","7.7","7.2","0.000","486","270","","","","","","","","","","","","","9.577","5.699","2.659","0.083","0.067","12.9","","96","","","","","","","","","","","","","","","","","","","","8.088",""
"영산포1","2022/01/25","4회차","","6.1","18.1","4.0","10.2","78.4","7.852","0.097","5.1","8.4","정량한계미만","552","660","","","","","","","","","","","","","7.809","3.265","3.213","0.041","0.003","9.6","","20","","","","","","","","","","","","","","","","","","","","",""
"광산","2022/02/03","1회차","","6.8","14.4","6.5","10.6","71.1","10.986","0.226","8.1","7.3","0.000","480","580","","","","","","","","","","","","","10.250","6.032","2.253","0.089","0.076","14.8","","225","","","","","","","","","","","","","","","","","","","","11.013",""
"영산포1","2022/02/03","1회차","","6.1","16.1","6.0","7.8","111.7","8.967","0.066","5.3","8.2","정량한계미만","589","1200","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","8.450","3.881","3.190","0.042","0.012","16.0","","52","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2022/02/07","2회차","","6.5","15.2","7.7","12.3","85.2","9.731","0.178","7.9","7.5","0.000","482","390","0.00000","0.00","0.00005","0.000","0.00082","0.0000000","","","","","","","8.800","5.831","2.527","0.058","0.037","15.5","","84","","","","","","0.00","","","","","","","","","0.0001","","","","","9.578",""
"영산포1","2022/02/08","2회차","","5.5","16.6","6.0","11.7","95.8","8.422","0.100","5.3","8.4","정량한계미만","550","840","","","","","","","","","","","","","8.370","4.225","2.842","0.034","0.006","12.8","","0","","","","","","","","","","","","","","","","","","","","",""
"광산","2022/02/14","3회차","","8.4","14.9","7.8","11.5","82.1","9.575","0.132","7.6","7.3","0.000","470","210","","","","","","","","","","","","","9.424","5.816","2.301","0.024","0.013","15.0","","33","","","","","","","","","","","","","","","","","","","","9.603",""
"영산포1","2022/02/16","3회차","","6.2","13.3","5.9","11.7","97.4","8.553","0.148","7.8","8.0","정량한계미만","536","820","","","","","","","","","","","","","8.356","3.842","3.094","0.049","0.006","15.2","","13","","","","","","","","","","","","","","","","","","","","",""
"광산","2022/02/21","4회차","","6.4","12.5","6.3","10.5","71.3","10.735","0.147","7.8","7.4","0.000","496","260","","","","","","","","","","","","","10.653","6.570","2.634","0.037","0.000","13.3","","88","","","","","","","","","","","","","","","","","","","","8.918",""
"영산포1","2022/02/22","4회차","","6.5","13.9","5.6","10.8","105.8","8.523","0.178","7.4","8.1","정량한계미만","451","1600","","","","","","","","","","","","","7.949","3.589","2.991","0.041","0.005","16.8","","38","","","","","","","","","","","","","","","","","","","","",""
"광산","2022/02/28","5회차","","8.3","14.9","9.2","12.5","84.1","9.996","0.135","8.3","7.4","0.000","470","200","","","","","","","","","","","","","9.858","5.735","2.670","0.036","0.012","18.4","","80","","","","","","","","","","","","","","","","","","","","6.835",""
"영산포1","2022/03/03","1회차","","11.0","12.3","4.0","11.9","25.5","9.936","0.106","7.1","7.9","정량한계미만","464","620","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","9.676","4.512","3.227","0.045","0.010","7.6","정량한계미만","14","","","","","","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","정량한계미만","정량한계미만","","정량한계미만","","","정량한계미만"
"광산","2022/03/07","1회차","","10.4","13.2","8.4","12.8","115.0","10.095","0.163","9.4","7.3","0.000","514","365","0.00000","0.00","0.00020","0.000","0.00083","0.0000000","","","","","","","9.254","5.850","2.283","0.042","0.010","20.3","0.000","99","","","","","","0.00","0.000","0.000","0.0000","0.0000","0.0000","0.0000","","","0.0002","0.000","","0.000","","7.085","0.000"
"영산포1","2022/03/08","2회차","","10.5","11.2","2.8","15.4","11.0","8.753","0.120","8.3","7.9","정량한계미만","578","540","","","","","","","","","","","","","8.506","4.622","3.043","0.072","0.023","6.8","","14","","","","","","","","","","","","","","","","","","","","",""
"광산","2022/03/14","2회차","","14.8","5.5","7.7","10.8","15.4","12.947","0.252","7.5","6.7","0.000","517","40750","","","","","","","","","","","","","12.366","9.229","1.885","0.164","0.138","9.6","","5667","","","","","","","","","","","","","","","","","","","","7.120",""
"영산포1","2022/03/16","3회차","","14.4","8.0","3.2","10.2","9.3","8.863","0.143","7.3","7.6","정량한계미만","484","8000","","","","","","","","","","","","","8.729","4.982","2.578","0.097","0.060","5.2","","140","","","","","","","","","","","","","","","","","","","","",""
