"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2015/01/05","1회차","","5.3","12.8","2.3","4.8","3.3","6.082","0.080","4.0","7.0","0.000","445","5400","0.00002","0.00","0.00019","0.000","0.00067","0.0000047","","","","","","","6.027","2.699","2.801","0.061","0.047","4.9","","150","","","","","","0.00","","","","","","","","","0.0002","","","","","24.083",""
"영산포1","2015/01/05","1회차","","5.0","17.8","1.7","6.1","20.4","5.483","0.069","2.6","7.5","0.000","374","1900","","","","","","","","","","","","","5.472","1.489","3.050","0.042","0.035","4.8","","40","","","","","","","","","","","","","","","","","","","","",""
"영산포1","2015/01/12","2회차","","4.9","14.0","2.6","5.5","4.6","7.085","0.104","2.9","8.0","0.000","428","500","","","","","","","","","","","","","6.159","2.327","3.032","0.079","0.060","4.4","","60","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/01/13","2회차","","4.8","11.5","2.4","4.1","5.5","5.434","0.083","3.9","7.0","0.000","380","750","","","","","","","","","","","","","5.404","2.181","2.594","0.048","0.037","9.4","","20","","","","","","","","","","","","","","","","","","","","19.903",""
"영산포1","2015/01/19","3회차","","5.2","18.7","2.1","5.9","23.5","4.989","0.065","2.9","7.7","0.000","358","2500","","","","","","","","","","","","","4.952","1.634","2.862","0.036","0.035","4.8","","60","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/01/20","3회차","","5.3","12.9","2.0","4.6","7.7","6.066","0.111","4.4","7.0","0.000","373","370","","","","","","","","","","","","","6.044","3.347","2.541","0.041","0.026","5.5","","8","","","","","","","","","","","","","","","","","","","","14.486",""
"광산","2015/01/26","4회차","","7.1","10.3","3.3","6.5","12.0","7.946","0.185","5.5","6.4","0.000","414","21000","","","","","","","","","","","","","7.705","4.486","2.406","0.133","0.110","5.9","","440","","","","","","","","","","","","","","","","","","","","24.049",""
"영산포1","2015/01/26","4회차","","6.0","19.9","3.0","3.4","37.9","5.917","0.047","3.0","7.6","0.000","334","2800","","","","","","","","","","","","","5.671","2.153","2.733","0.025","0.025","6.0","","160","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/02/02","1회차","","5.5","12.0","2.7","5.3","15.3","6.608","0.089","4.6","7.1","0.000","417","900","0.00002","0.00","0.00030","0.000","0.00067","0.0000064","","","","","","","6.593","3.309","2.622","0.046","0.026","5.4","","10","","","","","","0.00","","","","","","","","","0.0003","","","","","16.681",""
"영산포1","2015/02/02","1회차","","6.9","11.3","4.9","7.2","30.0","6.824","0.084","3.9","8.2","0.000","379","1200","","","","","","","","","","","","","6.621","2.644","2.764","0.046","0.027","7.6","","60","","","","","","","","","","","","","","","","","","","","",""
"영산포1","2015/02/09","2회차","","4.6","18.5","4.3","8.3","83.0","6.544","0.085","3.9","6.2","0.000","381","1200","","","","","","","","","","","","","6.362","2.299","2.586","0.019","0.010","10.0","","55","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/02/10","2회차","","5.3","15.3","3.9","6.6","21.6","7.318","0.109","5.3","7.3","0.000","444","600","","","","","","","","","","","","","7.148","4.331","2.404","0.045","0.028","6.3","","6","","","","","","","","","","","","","","","","","","","","15.000",""
"광산","2015/02/16","3회차","","7.1","11.7","4.4","6.8","28.8","8.493","0.118","5.5","6.9","0.000","424","7600","","","","","","","","","","","","","8.321","4.888","3.069","0.059","0.037","7.0","","4200","","","","","","","","","","","","","","","","","","","","23.139",""
"영산포1","2015/02/16","3회차","","6.2","14.7","5.2","7.3","147.1","6.846","0.049","3.4","7.9","0.000","195","2500","","","","","","","","","","","","","5.317","2.236","1.925","0.019","0.010","6.4","","160","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/02/23","4회차","","8.2","11.3","6.0","7.2","45.9","6.890","0.122","5.9","7.2","0.000","401","5600","","","","","","","","","","","","","6.690","3.745","2.056","0.054","0.026","8.2","","32","","","","","","","","","","","","","","","","","","","","17.472",""
"영산포1","2015/02/23","4회차","","7.3","13.3","3.9","7.0","49.9","6.646","0.087","3.5","8.0","0.000","388","1000","","","","","","","","","","","","","6.630","3.031","2.731","0.030","0.014","8.8","","70","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/03/02","1회차","","8.0","12.7","6.0","7.2","55.4","8.549","0.136","6.2","6.8","0.000","430","1240","0.00000","0.00","0.00070","0.000","0.00080","0.0000000","","","","","","","8.421","5.286","2.031","0.052","0.023","10.2","0.000","90","","","","","","0.00","0.000","0.000","0.0000","0.0000","0.0000","0.0000","","","0.0001","0.000","","0.000","","17.618","0.000"
"영산포1","2015/03/02","1회차","","6.4","12.8","4.0","9.2","94.6","5.915","0.101","4.3","8.0","0.000","378","260","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","5.761","2.560","2.767","0.026","0.003","12.8","","110","","","","","","0.00","","","","","","","","","0.0000","","","","","",""
"영산포1","2015/03/09","2회차","","8.2","11.8","5.2","8.6","94.1","6.654","0.067","4.2","8.2","0.000","365","600","","","","","","","","","","","","","5.881","2.802","2.484","0.019","0.000","15.6","","100","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/03/10","2회차","","8.3","13.8","6.8","8.5","91.5","8.130","0.157","6.6","7.3","0.000","442","780","","","","","","","","","","","","","7.388","4.640","2.145","0.047","0.017","13.9","","52","","","","","","","","","","","","","","","","","","","","8.521",""
"광산","2015/03/16","3회차","","9.2","12.8","6.2","8.7","73.4","8.203","0.127","6.6","7.6","0.000","447","520","","","","","","","","","","","","","8.077","5.135","2.101","0.035","0.013","11.9","","40","","","","","","","","","","","","","","","","","","","","9.104",""
"영산포1","2015/03/16","3회차","","9.4","14.1","5.5","9.6","104.9","6.897","0.076","4.2","8.9","0.000","385","740","","","","","","","","","","","","","5.397","2.770","2.589","0.024","0.003","13.6","","35","","","","","","","","","","","","","","","","","","","","",""
"영산포1","2015/03/23","4회차","","12.5","12.4","6.6","10.4","98.8","7.229","0.078","4.7","8.3","0.000","397","1400","","","","","","","","","","","","","7.024","3.386","2.654","0.037","0.012","12.0","","25","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/03/24","4회차","","13.5","11.2","7.6","11.6","142.0","5.516","0.174","7.5","7.8","0.000","378","4600","","","","","","","","","","","","","4.928","2.911","1.282","0.034","0.007","18.4","","65","","","","","","","","","","","","","","","","","","","","16.611",""
"광산","2015/03/30","5회차","","13.0","9.4","7.7","13.8","136.8","7.894","0.139","7.9","7.6","0.000","454","420","","","","","","","","","","","","","7.246","4.631","1.606","0.066","0.023","12.6","","8","","","","","","","","","","","","","","","","","","","","10.000",""
"영산포1","2015/03/30","5회차","","16.0","16.0","11.2","15.2","189.2","6.104","0.096","6.8","9.1","0.000","345","280","","","","","","","","","","","","","5.843","2.396","1.916","0.058","0.035","15.6","","5","","","","","","","","","","","","","","","","","","","","",""
"영산포1","2015/04/06","1회차","","14.4","7.7","4.2","9.9","25.0","6.687","0.119","4.7","7.6","0.000","378","6000","","","","","","","","","","","","","6.627","3.541","1.720","0.083","0.058","11.6","","840","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/04/07","1회차","","14.4","3.4","4.5","7.9","9.1","4.505","0.181","5.8","7.0","0.000","314","62000","0.00002","0.00","0.00017","0.000","0.00060","0.0000041","","","","","","","4.439","2.515","1.093","0.124","0.109","10.1","","4200","","","","","","0.00","","","","","","","","","0.0002","","","","","26.403",""
"영산포1","2015/04/13","2회차","","15.0","9.8","5.8","8.7","50.4","4.052","0.119","4.4","7.8","0.000","258","1000","","","","","","","","","","","","","3.815","1.400","1.485","0.071","0.051","10.4","","55","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/04/14","2회차","","15.3","9.0","6.8","10.4","75.5","6.181","0.169","6.7","7.3","0.000","363","1050","","","","","","","","","","","","","5.568","2.949","1.756","0.040","0.004","19.8","","80","","","","","","","","","","","","","","","","","","","","26.201",""
"광산","2015/04/20","3회차","","15.6","9.1","6.6","8.9","97.7","5.778","0.148","6.5","7.3","0.000","336","7800","","","","","","","","","","","","","5.434","3.137","1.400","0.081","0.040","11.4","","340","","","","","","","","","","","","","","","","","","","","23.083",""
"영산포1","2015/04/21","3회차","","17.3","8.9","1.8","7.2","21.3","4.787","0.068","4.3","7.8","0.000","317","1000","","","","","","","","","","","","","4.787","2.154","1.748","0.050","0.026","4.4","","100","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/04/27","4회차","","18.0","8.3","4.5","8.4","41.5","6.166","0.148","6.9","7.2","0.000","372","200","","","","","","","","","","","","","5.780","3.262","1.399","0.078","0.044","8.7","","16","","","","","","","","","","","","","","","","","","","","12.396",""
"영산포1","2015/04/28","4회차","","18.5","11.8","9.4","12.4","158.3","4.399","0.090","5.6","8.6","0.000","301","15000","","","","","","","","","","","","","4.024","1.503","2.250","0.048","0.017","12.0","","30","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/05/04","1회차","","20.2","7.6","6.9","8.3","65.7","4.326","0.154","5.4","6.9","0.000","284","17000","0.00003","0.00","0.00017","0.000","0.00044","0.0000075","","","","","","","4.091","1.892","1.650","0.059","0.045","11.4","","1580","","","","","","0.00","","","","","","","","","0.0000","","","","","24.382",""
"영산포1","2015/05/06","1회차","","20.0","8.3","3.9","7.9","23.1","2.797","0.085","4.2","7.6","0.000","209","8000","","","","","","","","","","","","","2.681","0.608","1.361","0.060","0.043","6.4","","88","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/05/11","2회차","","19.7","2.6","4.4","8.2","55.4","5.088","0.106","5.8","6.9","0.000","278","140","","","","","","","","","","","","","5.070","2.276","1.781","0.043","0.027","8.1","","24","","","","","","","","","","","","","","","","","","","","24.306",""
"영산포1","2015/05/11","2회차","","20.8","9.4","5.4","8.2","19.5","3.108","0.053","4.4","7.8","0.000","239","5000","","","","","","","","","","","","","3.060","0.489","1.661","0.030","0.010","9.2","","20","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/05/19","3회차","","21.2","5.7","6.9","8.4","49.0","5.797","0.171","6.4","6.9","0.000","317","3800","","","","","","","","","","","","","5.631","3.463","1.313","0.065","0.031","13.7","","1080","","","","","","","","","","","","","","","","","","","","19.896",""
"영산포1","2015/05/19","3회차","","21.6","7.1","2.3","6.9","9.9","4.435","0.074","4.0","7.4","0.000","283","9000","","","","","","","","","","","","","4.418","1.778","1.581","0.062","0.046","4.4","","80","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/05/26","4회차","","22.5","9.7","6.8","8.6","55.1","5.569","0.128","7.0","7.4","0.000","358","250","","","","","","","","","","","","","5.365","2.695","1.251","0.036","0.005","12.6","","60","","","","","","","","","","","","","","","","","","","","8.660",""
"영산포1","2015/05/26","4회차","","25.8","9.9","5.5","13.8","67.0","3.755","0.055","4.5","8.3","0.000","170","4000","","","","","","","","","","","","","3.625","1.178","1.119","0.031","0.010","14.8","","32","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/06/02","1회차","","24.4","9.8","5.8","8.6","46.8","5.799","0.137","6.8","7.0","0.000","359","510","0.00002","0.00","0.00010","0.000","0.00066","0.0000095","","","","","","","5.026","3.053","1.322","0.036","0.014","13.5","","175","","","","","","0.00","","","","","","","","","0.0000","","","","","18.653",""
"영산포1","2015/06/02","1회차","","24.8","13.5","6.4","12.3","25.6","3.781","0.051","5.3","8.9","0.000","324","7000","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","3.654","1.042","1.447","0.030","0.005","15.6","","20","","","","","","0.00","","","","","","","","","0.0000","","","","","",""
"광산","2015/06/08","2회차","","23.5","8.4","5.7","8.3","56.6","5.282","0.127","6.4","6.8","0.000","356","400","","","","","","","","","","","","","4.972","2.162","1.786","0.033","0.005","15.8","","120","","","","","","","","","","","","","","","","","","","","20.764",""
"영산포1","2015/06/09","2회차","","27.0","10.3","4.3","11.7","45.2","3.930","0.050","5.4","8.5","0.000","326","2000","","","","","","","","","","","","","3.857","1.428","1.197","0.028","0.008","9.6","","28","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/06/16","3회차","","24.0","3.4","4.8","8.3","15.4","4.265","0.144","6.2","6.4","0.000","261","12600","","","","","","","","","","","","","4.262","2.281","1.130","0.084","0.055","12.7","","3200","","","","","","","","","","","","","","","","","","","","27.750",""
"영산포1","2015/06/16","3회차","","26.2","8.2","3.3","10.0","6.9","3.783","0.069","5.4","8.0","0.000","320","600","","","","","","","","","","","","","3.669","1.558","1.370","0.039","0.029","13.6","","80","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/06/23","4회차","","23.5","5.0","5.1","8.4","30.0","3.692","0.120","6.3","6.3","0.000","244","15600","","","","","","","","","","","","","3.585","1.204","1.377","0.051","0.032","11.6","","190","","","","","","","","","","","","","","","","","","","","10.750",""
"영산포1","2015/06/24","4회차","","25.8","9.3","4.1","10.2","48.7","4.137","0.065","5.7","7.7","0.000","287","2400","","","","","","","","","","","","","4.003","1.620","1.378","0.044","0.018","9.2","","16","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/06/29","5회차","","24.0","7.2","5.1","7.8","74.4","3.241","0.104","5.8","6.8","0.000","231","2600","","","","","","","","","","","","","3.037","0.668","1.446","0.050","0.020","12.3","","480","","","","","","","","","","","","","","","","","","","","17.674",""
"영산포1","2015/07/01","1회차","","24.0","7.7","3.4","8.2","36.1","3.708","0.096","5.3","7.5","0.000","243","10000","","","","","","","","","","","","","3.469","1.404","1.676","0.061","0.051","6.0","","270","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/07/06","1회차","","26.0","9.3","6.9","10.7","82.0","4.355","0.128","7.8","7.7","0.000","267","270","0.00011","0.00","0.00012","0.000","0.00085","0.0000041","","","","","","","4.075","1.332","1.594","0.048","0.013","9.9","","80","","","","","","0.00","","","","","","","0.0000","0.0000","0.0000","","","","","25.708",""
"영산포1","2015/07/07","2회차","","25.0","8.7","4.6","15.1","70.4","3.806","0.074","6.9","7.8","0.000","251","800","","","","","","","","","","","","","3.507","0.928","1.291","0.030","0.016","12.4","","20","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/07/14","2회차","","23.9","5.9","2.1","7.0","8.7","2.675","0.166","5.1","7.0","0.000","166","11600","","","","","","","","","","","","","2.603","0.492","1.487","0.118","0.106","12.2","","3300","","","","","","","","","","","","","","","","","","","","76.313",""
"영산포1","2015/07/14","3회차","","24.9","7.8","3.1","7.2","9.4","2.690","0.136","4.0","7.4","0.000","135","9000","","","","","","","","","","","","","2.625","0.604","1.395","0.118","0.111","12.0","","460","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/07/20","3회차","","27.0","6.8","3.3","8.2","69.1","3.169","0.119","5.2","7.6","0.000","239","620","","","","","","","","","","","","","3.017","0.808","1.538","0.039","0.016","7.7","","210","","","","","","","","","","","","","","","","","","","","24.035",""
"영산포1","2015/07/21","4회차","","27.9","9.6","5.9","9.8","7.4","2.477","0.066","4.3","7.9","0.000","178","1000","","","","","","","","","","","","","2.216","0.121","1.469","0.033","0.010","10.4","","50","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/07/28","4회차","","27.8","6.5","4.4","7.2","68.1","3.207","0.134","5.6","7.6","0.000","277","22000","","","","","","","","","","","","","3.097","1.178","1.152","0.052","0.028","8.6","","4200","","","","","","","","","","","","","","","","","","","","27.681",""
"광산","2015/08/03","1회차","","30.3","7.9","4.9","8.4","64.2","4.687","0.175","6.5","7.4","0.000","305","250","","","","","","","","","","","","","4.174","1.293","1.247","0.082","0.046","7.7","","145","","","","","","","","","","","","","","","","","","","","19.569",""
"영산포1","2015/08/04","1회차","","30.5","11.0","15.3","21.7","292.2","2.857","0.134","4.2","8.7","0.000","237","10000","","","","","","","","","","","","","2.257","0.187","1.239","0.053","0.030","38.4","","200","","","","","","","","","","","","","","","","","","","","",""
"광산","2015/08/10","2회차","","29.6","4.7","4.3","9.5","79.9","5.385","0.181","7.7","7.1","0.000","351","790","0.00003","0.00","0.00066","0.000","0.00097","0.0000186","","","","","","","4.970","2.044","1.242","0.083","0.040","11.1","","420","","","","","","0.00","","","","","","","","","0.0000","","","","","20.889",""
"영산포1","2015/08/11","2회차","","29.7","8.0","6.2","15.4","129.2","2.651","0.126","4.5","8.2","0.000","256","10000","","","","","","","","","","","","","2.563","0.627","1.032","0.094","0.058","19.2","","120","","","","","","","","","","","","","","","","","","","","",""
