"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2016/01/04","1회차","3.62","7.7","11.8","2.3","4.9","16.9","5.535","0.081","4.5","6.8","0.000","406","1900","","","","","","","","","","","","","5.464","1.432","3.889","0.044","0.024","6.1","","10","","","","","","","","","","","","","","","","","","","","15.070",""
"영산포1","2016/01/05","1회차","","7.2","15.4","4.4","7.4","92.0","4.562","0.085","3.5","8.2","0.000","342","600","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","4.505","0.595","3.534","0.038","0.022","9.6","","200","","","","","","0.00","","","","","","","","","0.0000","","","","","",""
"광산","2016/01/11","2회차","3.63","7.5","12.7","2.9","5.5","36.9","6.618","0.161","5.1","7.5","0.000","416","370","","","","","","","","","","","","","6.488","1.356","4.347","0.102","0.066","4.7","","16","","","","","","","","","","","","","","","","","","","","15.157",""
"영산포1","2016/01/12","2회차","","6.3","16.9","4.7","7.1","74.8","4.892","0.044","3.2","8.5","0.000","359","2000","","","","","","","","","","","","","4.738","0.490","3.805","0.008","0.004","12.0","","200","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/01/18","3회차","3.6","7.0","13.6","2.9","6.0","38.9","7.880","0.140","5.8","7.4","0.000","462","400","","","","","","","","","","","","","7.608","1.884","4.714","0.073","0.033","5.5","","14","","","","","","","","","","","","","","","","","","","","15.212",""
"영산포1","2016/01/18","3회차","","5.9","15.8","4.1","8.0","99.0","6.325","0.029","3.8","8.2","0.000","386","1000","","","","","","","","","","","","","5.031","0.710","3.880","0.006","0.004","12.4","","200","","","","","","","","","","","","","","","","","","","","",""
"영산포1","2016/01/26","4회차","","3.5","18.0","4.1","8.3","75.0","5.770","0.087","3.7","8.4","0.000","408","400","","","","","","","","","","","","","5.624","0.894","4.222","0.020","0.007","10.4","","60","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/01/28","4회차","3.61","4.2","13.1","2.4","5.0","21.2","7.099","0.114","5.7","7.0","0.000","385","830","0.00000","0.00","0.00010","0.000","0.00060","0.0000000","","","","","","","6.959","2.014","4.432","0.063","0.021","4.2","","200","","","","","","0.00","","","","","","","","","0.0002","","","","","17.269",""
"광산","2016/02/02","1회차","3.68","4.2","11.3","4.2","6.5","13.3","4.747","0.232","5.6","6.7","0.000","371","13000","0.00000","0.00","0.00020","0.000","0.00070","0.0000000","","","","","","","4.376","1.387","2.729","0.142","0.125","8.7","","1700","","","","","","0.00","","","","","","","","","0.0003","","","","","23.687",""
"영산포1","2016/02/03","1회차","","4.4","12.2","2.5","6.8","12.3","5.100","0.164","3.3","7.6","0.000","416","3000","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","4.996","1.647","2.656","0.144","0.130","6.4","","100","","","","","","0.00","","","","","","","","","0.0000","","","","","",""
"광산","2016/02/11","2회차","3.57","6.3","13.2","2.6","5.1","14.7","6.908","0.101","5.9","7.1","0.000","414","66","","","","","","","","","","","","","6.634","2.569","3.807","0.064","0.029","4.1","","2","","","","","","","","","","","","","","","","","","","","19.949",""
"영산포1","2016/02/11","2회차","","5.8","15.1","4.2","7.0","51.8","4.089","0.082","3.5","7.9","0.000","382","600","","","","","","","","","","","","","4.011","0.624","2.760","0.062","0.045","10.0","","100","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/02/15","3회차","3.64","8.8","10.2","3.8","6.0","16.0","4.372","0.167","6.1","7.2","0.000","294","14000","","","","","","","","","","","","","4.224","1.383","2.087","0.107","0.070","14.8","","600","","","","","","","","","","","","","","","","","","","","33.585",""
"영산포1","2016/02/15","3회차","","7.6","11.2","2.8","7.5","26.7","6.218","0.103","3.3","7.5","0.000","367","3200","","","","","","","","","","","","","6.169","1.950","3.101","0.068","0.055","10.0","","600","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/02/22","4회차","3.61","7.8","11.5","2.2","5.6","13.1","5.504","0.119","4.8","6.8","0.000","348","500","","","","","","","","","","","","","5.402","1.895","3.114","0.096","0.069","6.8","","4","","","","","","","","","","","","","","","","","","","","21.427",""
"영산포1","2016/02/22","4회차","","7.2","12.6","2.3","6.7","18.4","4.077","0.100","3.6","7.8","0.000","286","1400","","","","","","","","","","","","","4.024","1.040","2.193","0.069","0.060","5.6","","160","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/02/29","5회차","3.61","7.3","13.9","4.5","5.9","44.5","5.608","0.149","5.0","7.5","0.000","350","240","","","","","","","","","","","","","5.369","1.575","3.216","0.072","0.067","8.7","","4","","","","","","","","","","","","","","","","","","","","18.047",""
"영산포1","2016/03/02","1회차","","7.7","13.3","3.6","7.3","43.8","4.488","0.082","3.7","8.2","0.000","319","200","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","4.188","0.814","2.848","0.020","0.012","8.8","","20","","","","","","0.00","","","","","","","","","0.0000","","","","","",""
"광산","2016/03/07","1회차","3.74","12.1","8.3","5.9","7.5","5.7","3.295","0.204","6.3","7.0","0.000","229","10000","0.00000","0.00","0.00060","0.001","0.00090","0.0000000","","","","","","","3.173","0.636","1.779","0.083","0.055","44.7","0.000","920","","","","","","0.00","0.000","0.000","0.0000","0.0000","0.0000","0.0000","","","0.0005","0.000","","0.000","","59.313","0.000"
"영산포1","2016/03/07","2회차","","13.8","9.6","3.8","8.6","27.7","4.480","0.176","3.9","7.5","0.000","287","7400","","","","","","","","","","","","","4.340","1.745","2.015","0.115","0.095","22.4","","460","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/03/14","2회차","3.59","8.3","12.6","2.6","6.1","15.6","4.760","0.180","5.1","6.7","0.000","287","1900","","","","","","","","","","","","","4.590","1.393","2.630","0.127","0.086","8.7","","35","","","","","","","","","","","","","","","","","","","","19.616",""
"영산포1","2016/03/14","3회차","","9.5","10.6","1.5","6.3","10.3","3.594","0.098","3.5","7.6","0.000","220","1100","","","","","","","","","","","","","3.527","0.751","2.096","0.074","0.069","8.4","","120","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/03/21","3회차","3.59","12.8","8.6","4.5","7.3","59.8","5.455","0.156","5.7","7.1","0.000","345","2500","","","","","","","","","","","","","5.050","1.462","3.238","0.073","0.028","10.9","","65","","","","","","","","","","","","","","","","","","","","14.170",""
"영산포1","2016/03/21","4회차","","12.8","10.2","2.7","7.5","43.5","3.969","0.081","3.4","8.2","0.000","270","100","","","","","","","","","","","","","3.739","0.668","2.441","0.030","0.018","9.6","","600","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/03/28","4회차","3.25","13.0","12.2","6.3","8.7","104.5","5.908","0.164","7.1","8.0","0.000","407","300","","","","","","","","","","","","","5.471","1.753","3.113","0.046","0.014","13.6","","10","","","","","","","","","","","","","","","","","","","","14.129",""
"영산포1","2016/03/29","5회차","","12.9","13.0","6.5","9.8","80.6","4.240","0.021","4.4","8.4","0.000","285","140","","","","","","","","","","","","","4.113","0.515","2.786","0.015","0.004","11.2","","12","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/04/04","1회차","3.6","15.7","13.6","7.1","9.1","82.1","5.853","0.080","6.3","7.6","0.000","419","200","0.00000","0.00","0.00010","0.000","0.00080","0.0000000","","","","","","","5.500","1.592","3.396","0.040","0.014","10.4","","4","","","","","","0.00","","","","","","","","","0.0003","","","","","10.836",""
"영산포1","2016/04/04","1회차","","16.0","10.6","2.1","7.8","11.2","4.305","0.057","3.8","8.3","0.000","304","240","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","4.295","0.598","2.614","0.035","0.017","2.0","","14","","","","","","0.00","","","","","","","","","0.0000","","","","","",""
"광산","2016/04/11","2회차","3.64","16.3","10.0","6.6","9.2","107.0","3.405","0.162","6.5","7.7","0.000","283","5400","","","","","","","","","","","","","3.112","0.693","1.842","0.064","0.026","11.4","","570","","","","","","","","","","","","","","","","","","","","18.359",""
"영산포1","2016/04/11","2회차","","17.4","8.7","3.3","7.4","10.0","6.780","0.120","4.3","7.8","0.000","317","240","","","","","","","","","","","","","6.450","1.907","2.336","0.100","0.069","4.4","","58","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/04/18","3회차","3.73","16.2","8.4","5.0","7.5","36.7","2.704","0.190","6.2","6.8","0.000","207","13000","","","","","","","","","","","","","2.625","0.568","1.626","0.077","0.038","20.7","","3700","","","","","","","","","","","","","","","","","","","","60.430",""
"영산포1","2016/04/18","3회차","","17.7","9.4","4.3","11.5","16.9","4.530","0.180","4.4","7.7","0.000","265","100","","","","","","","","","","","","","4.420","1.535","2.000","0.110","0.093","10.8","","88","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/04/25","4회차","3.61","18.0","7.9","2.7","5.6","31.2","3.369","0.116","4.4","6.5","0.000","227","4500","","","","","","","","","","","","","3.196","0.701","2.303","0.057","0.022","8.5","","980","","","","","","","","","","","","","","","","","","","","27.434",""
"영산포1","2016/04/26","4회차","","16.6","13.1","4.6","8.1","33.0","2.728","0.097","3.8","7.8","0.000","189","720","","","","","","","","","","","","","2.521","0.323","1.630","0.040","0.025","8.0","","300","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/05/02","1회차","3.6","19.1","8.5","3.6","7.0","39.0","3.454","0.127","5.5","6.7","0.000","222","13000","0.00000","0.00","0.00000","0.000","0.00060","0.0000000","","","","","","","3.247","0.787","1.950","0.069","0.034","9.5","","700","","","","","","0.00","","","","","","","","","0.0002","","","","","30.885",""
"영산포1","2016/05/02","1회차","","18.7","9.1","3.4","6.4","18.6","2.584","0.095","3.6","7.5","0.000","176","1500","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","2.549","0.331","1.569","0.069","0.059","9.6","","240","","","","","","0.00","","","","","","","","","0.0000","","","","","",""
"광산","2016/05/09","2회차","3.6","19.4","8.3","3.4","6.3","49.0","4.222","0.134","5.5","6.2","0.000","260","6300","","","","","","","","","","","","","4.019","1.181","2.131","0.064","0.049","9.1","","1500","","","","","","","","","","","","","","","","","","","","23.409",""
"영산포1","2016/05/09","2회차","","18.7","10.0","4.9","7.7","78.6","2.821","0.100","3.5","7.7","0.000","185","500","","","","","","","","","","","","","2.463","0.319","1.535","0.054","0.032","12.4","","400","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/05/16","3회차","3.64","21.2","13.2","5.9","8.6","139.2","4.405","0.165","7.0","6.9","0.000","311","18000","","","","","","","","","","","","","3.808","1.170","2.027","0.040","0.010","18.6","","5700","","","","","","","","","","","","","","","","","","","","29.049",""
"영산포1","2016/05/17","3회차","","22.1","13.1","4.1","10.0","71.4","3.250","0.093","3.8","8.5","0.000","230","1400","","","","","","","","","","","","","2.943","0.344","1.937","0.022","0.000","10.4","","400","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/05/23","4회차","3.61","23.8","10.9","4.6","7.7","51.5","4.273","0.149","5.7","7.5","0.000","314","300","","","","","","","","","","","","","4.259","1.479","2.113","0.094","0.059","6.9","","320","","","","","","","","","","","","","","","","","","","","20.929",""
"영산포1","2016/05/23","4회차","","24.6","14.0","11.4","9.9","141.3","3.060","0.060","5.0","8.8","0.000","272","500","","","","","","","","","","","","","2.854","0.311","1.712","0.025","0.004","16.8","","140","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/05/30","5회차","3.65","23.3","6.2","4.9","8.2","50.3","4.081","0.124","6.5","7.1","0.000","330","5900","","","","","","","","","","","","","3.688","1.927","1.361","0.074","0.074","6.6","","1100","","","","","","","","","","","","","","","","","","","","25.950",""
"영산포1","2016/06/01","1회차","","24.9","10.9","10.4","11.3","105.8","4.235","0.248","5.4","8.2","0.000","287","80","0.00000","0.00","0.00000","0.000","0.00000","0.0000000","","","","","","","3.641","1.065","1.317","0.069","0.041","18.0","","20","","","","","","0.00","","","","","","","","","0.0000","","","","","",""
"광산","2016/06/07","1회차","3.68","22.4","5.9","3.8","7.3","22.7","4.041","0.133","7.2","6.4","0.000","288","12000","0.00000","0.00","0.00000","0.000","0.00110","0.0000000","","","","","","","3.999","1.409","1.561","0.086","0.065","6.8","","2300","","","","","","0.00","","","","","","","","","0.0003","","","","","29.292",""
"영산포1","2016/06/07","2회차","","23.6","6.3","2.7","8.9","17.8","4.210","0.104","4.9","7.5","0.000","305","80","","","","","","","","","","","","","4.059","1.603","1.580","0.098","0.076","9.2","","70","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/06/13","2회차","3.65","24.6","10.1","5.4","7.3","73.7","4.522","0.147","6.9","7.2","0.000","316","13000","","","","","","","","","","","","","4.167","1.644","1.947","0.065","0.052","7.1","","40","","","","","","","","","","","","","","","","","","","","20.213",""
"영산포1","2016/06/14","3회차","","27.4","12.4","6.9","15.2","52.6","3.042","0.049","5.5","8.7","0.000","279","35","","","","","","","","","","","","","2.807","0.274","1.658","0.033","0.007","22.4","","8","","","","","","","","","","","","","","","","","","","","",""
"광산","2016/06/20","3회차","3.65","25.4","7.5","3.4","8.7","57.5","4.097","0.126","6.8","7.0","0.000","309","4000","","","","","","","","","","","","","3.878","1.453","1.774","0.081","0.049","7.6","","600","","","","","","","","","","","","","","","","","","","","30.302",""
